stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,3.48,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,22.71,0,0,3.81,0,0,0,0,0,0
 10-12,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,29.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.78,0,0.84,0,2.14,0,0,0,0,0,0,0,0,0,0,5.83,0,0,0,5.21,0,0,0,0,0
 24-34,0,1.26,0.77,0,0,0.62,3.58,0,0,0,0,0,0,0,0.88,0,0,14.81,8.71,0,0,7.72,0,5.2,0,0,0
 36-46,0,0,0.73,0,0,1.3,4.85,0,0.76,0.63,0,0,0,0,0,0,0,41.53,5.28,0,0,4.87,0.94,1.55,0,0,0
 48-58,0,0,0,0,6.33,0,7.7,0,0,0,0,0.79,0,0,0.55,0,0.38,194.11,5.23,0.39,0,0.39,0,9.18,0,0.75,0
 60-70,0,0.86,0,0,22,0,15.52,1.35,0,0,0,0,0,0,3.8,0,0,533.88,5.95,0,0,2.03,0,7.52,0,0.96,0
 72-82,0,6.95,0.72,0,94.26,0,13.06,0.86,0,0,2.57,0,0,0,6.17,0.75,0,484.97,0,0.57,0,0.6,0,0,0,10.07,0
 84-94,0,3.96,15,2.29,84.83,0,11.13,0.55,0,0,0,0,0,0,21.84,0,0,295.81,0,0,0,1.23,0,2.33,1.26,0,4.47
 96-106,0,4.83,0,2.04,78.34,0,7.15,1.43,0,0,0,0.8,0.79,0,8.85,0,1.06,276.68,7.61,0,0,1.94,0,3.37,0.61,3.86,5.23
108-118,0,9.91,2.09,2.54,102.09,0,11.04,1.65,0,0,0,0.44,0,0,22.4,0,2.91,317.64,5.66,5.16,0,2.64,0,2.71,1.82,0.46,6.54
120,0,11.35,17.02,0,215.02,0,2.21,1.68,0,0,1.01,6.32,0,1.67,13.26,0,0,557.87,4.05,1.16,0,0,1.26,0,0,0,7.48
