stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,15.27,0,0,10.17,0,0,0,0,0
 14-21,0,0,2.29,1.19,0,0.97,0,0,0,0,0,0,0.87,0,0,13.86,0,0,0,1.7,1.5,3.28,14.36,0
 24-34,0,1.26,0,0,0,0,0,1.56,0,0,0,0,0,0,0,30.13,0,0,0,1.03,0,0,3.36,0
 36-46,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0.66,44.47,0,0,0,2.58,0,0,7.32,0
 48-58,0,0,0.41,0,0,7.19,1.52,3.3,0,0,0,0,0.48,6.26,0,54.26,0,0,0,3.17,0,0,14.63,0
 60-70,0,0,0,0,0,10.25,0,1.23,0,0,0.6,0,0,0,0,17.86,0,0,0,2.52,0,0,9.03,0
 72-82,0,0,0,0,0,21.71,0,2.04,1.26,0,0,0,1.86,0,0.97,15.64,1.14,0.52,0,1.95,0,0,2.39,0
 84-94,0,6.14,0,0,0,11.93,0,2.26,0,0.64,0,0,0,0,1.64,6.47,0,0,0,12.74,0,0,0,0
 96-106,0,5.21,0,1.28,1.59,10.61,0,0,0.66,0,0,0,0,0,0,6.05,0,0,0,4.33,0,0,0,0.87
108-118,0,1.24,0,0,0,20.82,0,4.24,0.59,0,0,2.34,1.13,0,0,14.46,0,0,0,5.65,0,0,0,0
120,0,0,0,0,0,24.32,0,3.33,0,0,0,0,0,0,0,2.2,1.54,0,0,0,0,0,0,0
