stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,neural,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,8.35,0,0,0.9,0,0,0,0
 24-34,0.59,0,0.69,0,0,0,0,0,3.43,12.1,0,0,0,2.26,0.76,0,0
 36-46,0,0,2.01,0,0,0,0,0,0,18.87,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.42,3.2,0,0,0,5.77,0,0,0
 60-70,0,0,14.81,1.49,1.94,0.62,0,0,0,1.05,0,0,0,5.06,1.35,0,0
 72-82,0,1.33,0,0,0,0,0,0,15.49,8.69,0,0,0,0,0,0,0
 84-94,0,0.88,12.54,0,5.35,0,1.2,0,0.62,3.42,0,0,0,0,0,0,0
 96-106,1.43,0,0,0,0,0.96,3.73,0.75,0,0.56,0,1.47,0,0,2.75,0,1.22
108-118,0,0,5.78,0,0,0,0.62,0,1.63,0,0,0.45,0,4.09,2.91,0.5,0
120,0,0,0,0,1.81,2.12,2.76,0,3.37,0,1.5,6.28,0,0,0,12.53,0
