stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,2.94,0.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21,0,1.39,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1031.32,0,0,0,0,0,0,0,0,0,0,1.51,0,2.88,0,0,0,16.28,0,0,3.64,0,0,0,0,1.1,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,363.81,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,24.29,0,0,0.67,0,1.06,0,0,2.48,0,0,0,0,0
 60-70,0,0,0,0,11.23,0.58,0,29030.94,0,0.97,13.05,44.72,0.63,0,0,11.08,1.28,0,0,5.23,50.17,3.18,4.09,6.4,172.26,8.91,0.84,0,0,16.47,0,0,22.54,0,0,5.44,0,25.34
 72-82,0,0,2.88,0,307.79,129.13,2.97,73448.91,27.96,15.84,33.68,169.35,12.12,5.61,14.71,2.49,13.09,10.67,28.56,38.96,423.74,11.7,10.14,53.21,1403.34,7.52,8.67,19.53,28.11,151.1,1,6.8,171.81,12.23,21.81,74.34,15.63,72.1
 84-94,0,0,0.56,0,716.76,46.45,0,87671.82,34.84,11.4,9.89,121.18,3.59,4.16,7.9,0.76,33.77,2.25,34.95,0,249.64,10,16.45,8.86,538.93,2.32,8.6,14.59,3.59,80.02,0.74,1.38,77.98,13.73,7.62,50.1,15.89,43.71
 96-106,0,0,6.68,0,676.19,316.13,3.74,111137.19,305.28,53.85,31.48,266.69,20.57,2.08,21.8,4.98,31.92,3.28,102.42,8.01,383.22,15.78,12.37,57.89,1825.05,5.33,22.46,20.91,14.27,227.49,136.07,176.33,59.1,23.33,4.49,78.63,9.02,95.85
108-118,40.88,0,4.94,1.22,227.95,120.39,8.67,88950.66,3.65,15.43,41.04,262.05,14.77,5.83,30.97,10.12,20.99,6.77,34.82,12.8,649.3,9.54,21.11,59.45,1759.99,2.76,16.67,22.58,33.61,128,4.64,0.56,74.73,3.79,13.22,54.72,14.7,56.1
120,0,0,6.38,0,236.65,112.55,16.63,116242.91,0,12.69,14.74,162.39,33.04,5,31.89,5.9,14.59,6.35,40.53,0,521.58,26.76,33.51,18.44,1857.07,20.1,16.36,15.38,8.63,87.48,17.21,0,72.21,0,22.38,73.33,15.08,13.21
