stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
  5-6,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.65,0,0,0,0,0,13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,25.84,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.7,0,0,0,0,1.47,0,0,2.74,0.69,0,0,1.51,2.73,1.78
 36-46,0,0,0,0,0,0,0,0,0,0,2.78,0.66,0.81,2.71,0,0,0
 48-58,0,0,2.75,0,0,1.38,0,0,0,0,13.95,0,0,0,0,0.71,0
 60-70,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0
 72-82,0,0.57,0,0,0,0,0,0,0,0,0.76,1.07,0,2.03,0,0,0
 84-94,0,0,0,0,2.51,0,0,0,0,0.75,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.59,0,0,0,2.22,0.6,0,0,0,0,0
108-118,0,0,0,0,0,1.14,0,0,0.9,0,2.12,0,0,0,0,0,0
120,0,0,0,1.32,0,0,0,0,0,0,4.34,0,0,0,0,0,0
