stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.83,0,0,0,0,0,0,0,0,32.76,0,0,29.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,34.53,0,0,2.29,1.18,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,4.73,0,0,0,0,0
 24-34,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0.79,29.41,0,0,0,1.01,0,0.75,16.25,0,0,0,0,0
 36-46,0,0,0,0,0,1.13,0.96,0,0,0,0,2.07,0,0,47.75,0,0,0,0,4.85,0,22.71,0,0,0,0,0
 48-58,0,0,5.82,0,0,1.33,1.56,0,0,0,0,0,0,0,131.63,0,0,0,0,0,0,57.13,0,0,0,0,0
 60-70,0,0,0.68,0,0,14.05,5.35,0,0,0,0,22.81,0,0,326.07,0,0,0,0,0,0,81,0,0,0,0,1.79
 72-82,0,0,2.37,0,0,36.74,6.75,0.66,0,0,3.06,13.57,0,0,323.2,0,0,0,1.75,0,0,94.21,1.68,0.93,0,0.58,0
 84-94,0,0,0,0,0,42.78,3.55,0,0,0.97,0,7.45,3.76,0,273.48,0,2.4,0,0,0,0,63.36,0,0,7.09,1.06,0
 96-106,0,0,7.01,0,0,49.57,8.11,0,0,0,0,13.76,0,0,229.72,0,0,0,0,0,0,4.92,0,2.88,0,1.57,3.59
108-118,0,0,1.64,1.63,2.73,6.23,9.56,0,1.08,0.68,0,14.86,0,0,329.01,0,0.9,0,0.51,0,0,8.44,0,0,0,2.41,0
120,0,0,0,2.29,0,25.17,23.91,0,0,0,0,25.15,2.58,0,591.14,1.29,0,0,0,0,0,22.7,0,0,0,5.54,0
