stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,1113.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,70.9,1051.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0
  7-9,11.73,6.21,0,10.31,0,0,0,9.59,0,0,0,0,0,17.59,0,0,0,0,0,0,0,0,0,0,310.52,0,0,0,93.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.35,0,22.35,0,0,0,26.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.84,3.99,0,0,103.19,0,8.33,3.03,0,38.18,0,0,0,0,0,0,0
 14-21,0,0,1.13,1.5,11.43,0.98,0,8.29,0,0,0,0,1.56,0,0,1.05,0,0,0,0,6.31,0,0,10.19,119.72,0.99,0,0,3.21,0,43.16,0,23.85,1.89,6.3,32.91,0,0,1.62,0,0
 24-34,0,0.83,0,0,9.38,3.62,0,40.06,0,1.86,0,12.27,1.35,0,0,24.08,0.62,0.85,0,0,40.35,0.83,0,18.4,556.86,4.23,2.57,2.27,0,0,115.77,0,0,0.6,2.62,114.46,0,0,4.72,0,1.97
 36-46,0,0,0,0,3.62,2.18,0,180.78,0,0,0,15.25,0,0,0,10.42,0.63,0,0,0,31.34,0,0,8.03,389.39,0,10.07,6.93,0,0,121.99,0,0,2.65,0,93.52,0,0,0,0,0
 48-58,0,0,0,0,10.1,11.09,0,257.92,0,3,2.5,8.01,5.55,0,0.66,4.06,0,0,0,0,31.22,0,0.72,7.76,209.29,0,0,0,0,0.39,86.31,0,0,1.53,0,28.29,0,0,1.06,0,4.05
 60-70,0,0,0,0,7.2,0.6,0,140.65,0,3,0,10.55,4.09,0,0,12.99,1.16,0,0,0,30.12,0,0.88,0,96.6,0,0.96,0,0,0,63.43,0,0,0,0,6.4,0,0,0.64,0,0.72
 72-82,0,0,0,0,9.69,4.88,0,60.62,0,0,0,12.84,2.03,0,0,33.92,1.26,0,0.79,0.82,18.53,0,5.32,2.56,65.26,0,0,0,0,0,57.68,0,0,0,0,8.47,3.84,0.5,1.66,0,0
 84-94,0,0,0,0.78,18.26,16,0,48.33,0,1.7,0,6.43,0,0,0,42.66,1.91,0,0,0,26.03,0.56,2.78,4.59,66.67,0,3.44,0.64,0,1.01,189.51,0,0,0.8,0,0,3.68,0,2.56,2.34,0
 96-106,0,0,0,0,42.15,4.04,0,39.08,0,0.56,0,8.64,2.36,0,1.16,75.47,9.78,0,0.63,2.17,14.04,3.14,0,2.18,68.91,0,2.42,1.41,0,0,229.88,0,0,0,0,3.15,0.83,0,2.59,0.68,1.24
108-118,0,0,0.91,0,39.06,8.36,2.57,83.44,0.76,0,1.03,22.85,1.53,0,0,65.02,4.56,0.82,0.74,0.5,21.66,0.51,0.98,3.32,71.27,0,3.8,0,0,0,157.7,0,0,1.27,0,1.56,3.06,0,4.46,0,0
120,0,0,0,0,46.78,10.82,0,69.73,0,2.36,3.65,32.95,1.31,0,0,105.69,1.48,0,0,0,40.71,0,0,1.06,89.76,0,2.88,0,0,0,140.36,0,0,0,0,0,1.84,0,4.3,0,0
