stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.57,0,0,0,0,0,0,2.14,2.21,0,0,0,0,0,0,0.94,0,0,7.63,0,0,0,0.91,0,0,46.65,0,0
 24-34,0,0,2.08,3.44,0,0.69,0,0,0,0.67,11.97,35.34,0,1.23,0,0.78,0,0,11.86,0,1.7,23.35,0,2.99,0,0,4.07,0,273.21,0,0
 36-46,0,0,1.07,34.8,0,0.71,0,0,0,0,4.71,107.54,0,3.15,7.56,10.62,0,0,15.65,0,0,14.27,0,0,0,0,29.33,0,253.12,0,0
 48-58,0,0,0,6.79,0,2.96,0,0,0,0,6.09,116.22,0,5.51,0,1.84,0,0.4,45,0,1.34,17.96,0,0,0,0,3.46,0,233.09,0,0
 60-70,0,0,0,0,0,9.82,0,0,0,2.19,5.87,165.56,0.89,3.7,0,16.91,0,0,53.21,0,0,23.73,0,0,0,0,0,1.64,168.93,0,0
 72-82,0,0.5,0,0,0,16.81,0,0,2.24,0.49,11.16,202.42,0,6.82,0,2.76,0,0,64.19,0,0.56,26.61,0,3.99,0,0,0,0.84,394.43,2.3,5.01
 84-94,0,0,1.32,0,0,8.48,0,0,0,0.63,6.56,233.37,0,13.74,0,14.46,0,0,43.62,0,3.36,27.12,0,0,0,0,0,0,313.87,0,0
 96-106,0,0,6.24,25.49,0,17.47,0,1.02,0,0.93,22.31,292.43,0,20.61,5.58,3.82,0,0,26.97,0.57,3.79,37.07,0,0.77,0.6,0,0,0,422.23,1.31,0
108-118,0.67,0,0,0.52,0.5,14.51,0.54,0,0,0,5.72,283.92,0,22.01,1.21,4.73,0.65,0.81,26.35,1,2.61,34.55,0,3.23,0.85,0,5.37,0,324.97,0,0
120,1.12,0,5.18,1.38,0,11.21,0,0,0,4.3,15.27,384.81,0,33.74,0,10.73,0,0,28.93,0,2.26,65.46,0,1.18,0,0,0,0,323.71,0,0
