stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0.94,1.74,0,1.77,0,0,0,0,0,0,0,0,0,0,0,8.33,4.1,0,0,0.9,0.98,0,1.86,5.6,0,0
 24-34,0,1.71,0,0,1.29,0,0,0.91,0,0,2.27,0,2.33,0,0,2.5,48.7,1.41,0,0,0,7.25,0,0,7.56,0,0
 36-46,0,9.21,0,0,6.14,0,0.57,1.27,0,0,0,0,3.69,0,0,0,33.78,0,1.69,0,0,8.99,0,0,8.37,0,0
 48-58,0,4.78,0,0,2.31,0,0,1.85,0,0,0,0,6.72,0,0,1.77,27.25,0,0,0,0,0,1.35,0,3.21,0,6.5
 60-70,0,0.77,0.67,0,9.71,0,0,1.01,0,0,0,0,3.58,0.85,0,0.68,15.52,0,0.72,0,0,0,0,0,2.38,0.85,0
 72-82,0.9,5.58,0,0,6.19,0,0,2.53,0.63,0.66,0,0,6,0,0,0.89,18.87,0,0,0,0,0.93,0,0,3.71,0,0
 84-94,0,0,0,0.6,24.76,0.68,1.19,1.2,0,0,0,0,5.58,0,0,0.56,8.66,0,0,0,0,0.79,0,0,0,0,0
 96-106,0,1.89,0,0,3.1,0,0,0,0,0,0,0.73,1.68,0,1.09,1.2,16.35,0,0,0.98,0,0.6,0,0,0,1.3,0
108-118,0,0.42,0,0,2.02,0,0,3.41,0,0,0,1.53,2.56,0,0,0.99,6.7,0.56,0,0.58,0,3.89,0,0,0,0,0
120,0,0,0,0,16.98,0,0,2.88,3,0,0,0,14.93,0,0,0,19.51,0,0,0,0,6.05,0,0,0,0,0
