stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.78,4.16,0,0,3.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.83,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.39,2.63,1.08,0,0,2.39,0,0,0,0.95,0,0,0,0,0,27.32,0,0,17.71,61.13,0,0,0,0,0,0,0,0,48.78,0,0,0,0,0
 24-34,0,0,10.08,0,26.76,0,1.06,19.26,0,0,0,0,0,1.83,0.82,8.52,8.45,94.57,0,0,42.86,554.45,0,0,0,0,0,8.63,0,1.46,168.33,0,0,0,0,0
 36-46,1.07,0.73,0,0,27.05,0,1.22,19.62,0,0,0,0,0,1.53,0,0,1.51,57.77,0,0,22.68,329.59,4.07,0.56,0,0,1.83,1.34,0,0,133.04,0,0,0,0,0
 48-58,0,0.46,0,0.62,13.74,0,1.21,15.18,0,0,0,0,0,0,0,0,0,91.56,0.42,0,41.57,141.09,0,0,0,0,0.43,0,0,0,96.33,0,0,0,0,0
 60-70,0,0,5.57,0,538.03,2.27,0,13.22,0,5.45,0,0,0,0,0,0,0,94.94,0,0,24.01,155.42,0,0,6.45,0,0.57,0,0,0,311.43,0,0,0,0,0
 72-82,0,0,10.54,0,1229.38,0,1.33,25.8,0,2.57,0,0.59,0,0,0,0.88,0,163.98,0.58,0.96,20.26,143.06,0,0,0.91,0,0,0,1.81,0,169.5,0,3.83,0,1.25,9.66
 84-94,0,0,23.77,0,902.98,0,0,47.83,0,1.43,0.79,0,0,0,0.65,0,0,171.34,0,0,11.24,166.32,0,0,0.92,0,0,0,0,0,131.66,0,0,0,2.34,0
 96-106,0,1.41,4.66,0,1283.58,9.25,0,48.98,0.97,0,0,2.07,0.59,0,0,10.33,0,163.52,0,0,20.96,204.33,0,0,0,0,1.98,0,0,0,44.91,4.97,0,0,0,0
108-118,0,0,8,0.97,853.97,0,0,17.64,0,0,0,0,0,0,0.86,0,0,166.52,0,10.47,8.03,241.54,0,0,0,0,5.47,0,0,0,46.65,0.71,0,1.49,0.49,0
120,0,0,19.53,3.75,285.07,0,0,31.53,0,0,0,0,0,0,0,0,0,166.26,1.12,4.29,22.92,183.83,0,0,2,0,2.32,0,0,0,44.82,0,0,0,0,8.94
