stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.63,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,168.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.12,0,0,0,0,0,82.21,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,196.84,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.88,0,17.44,0,0,0,95.28,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,1284.4,45.23,0,0,345.75,0,0,0,43.72,0,0,0,0,0,0,0
 14-21,0,0,0,95.57,507.67,112.17,0,697.08,0.85,0,16.41,4.57,0,0,0,40.21,0,5.58,0,1.9,292.69,1.09,0,174.67,2142.2,156.91,0,63.15,48.92,0,12.9,302.18,0,0,251.83,435.46,0,0,0,0.84
 24-34,0,0,0,51.02,159.3,8.48,0,502.86,4.16,11.73,12.19,7.73,0,0,0,2.42,3.1,1.04,28.94,5.45,200.65,0,0,35.13,1273.57,64.76,0,42.14,0,0,0,3.91,0.94,0.85,88.23,115.68,0,0,3.44,7.64
 36-46,0,0,0,3.05,27.29,0,0,125.06,0,9.71,14,1.66,0,0,0,0.91,0.83,1.45,9.9,0,51.05,0,0.8,18.74,919.38,151.21,0,6,0,0,5.88,0,0,7.13,0,26.78,0,0,3.1,0
 48-58,0,0,0,3.34,20.5,0,0,84.39,0,2.59,37.71,14.19,0,0.78,0,0,1.55,0,20.11,3.29,40.25,0,0.46,13.31,584.95,18.78,6.52,2.67,0,0,0.43,0,0.4,0,0,22.92,0,0,0,1.99
 60-70,0,0,0.62,0,17.89,0,0,45.4,0,4.68,25.68,2.6,0,1.78,0,2.21,1.29,2.22,9.58,0,127.78,0,2.41,11.43,597.33,68,0,4.43,0,0,0,0,0,0,0,64.93,1.82,0,0,0
 72-82,0,0,0.88,0,15.33,0,0,328.97,0,1.47,50.97,12.56,0,0,0,6.69,0,0,9.77,0,105.08,0,0,8.3,190.67,0,0,490.78,0,0,1.16,0,1.62,0,0,5.91,0,0.73,1.76,0
 84-94,0,0,6.52,0,10.03,0,5.78,463.72,0,4.62,27.9,12.37,0,0,0,9.68,0.81,0,41.59,0,118.47,0,1.21,6.37,124.54,2.6,0,4.68,0,0,0,0,0,0,0,8.16,0,21.63,1.07,0
 96-106,0,0,1.8,0,41.32,2.79,13.41,495.83,0.58,3.02,30.96,23.72,0,0.66,0.89,15.24,0,0,77.22,0,185.66,0,2.12,11.27,343.83,27.98,2.16,104.55,0,0,2.66,0,0,0,0,0,3.74,0,4.21,0
108-118,0,0,3.31,0,61.8,0,0.56,531.3,1.36,7.87,88.45,3.27,0,0,0,5.54,0,0,71.82,0,80.35,0,0,16.63,297.21,251.6,4.63,16.89,0,2.27,0.54,0,0,0,0,10.68,2.48,0,0,0
120,21.29,0,0,0,43.48,1.98,0,1185.35,1.27,1.52,43.23,0,0,0,1.96,3.77,0,0,25,0,41.35,0,19.08,10.48,615.06,28.04,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0
