stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,23.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,0,4.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.59,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.71,0,0,0,0,0,1.33,0,0,0,0,0,0,0,7.95,43.23,0,0,0,0,0.8,0,0,0,0
 36-46,0,17.96,0,0,10.53,0,0,0,1.93,0,0,0,0,0,0,0,0,0,8.71,104.55,0,0,0,0,2.88,0,0,0,0
 48-58,0,0,0,0,52.81,0,0,0,0,0,0,0,0,0,0,1.34,0,0,16.83,101.6,0,0,0,0,0.9,0,0,0,0
 60-70,0,0,0,0,284.11,0,0,0,1.19,0,0,0,0,0,0,0.74,0,0,49.31,86.59,0,0,0,0,1.88,0,0,0,0
 72-82,0,0,1.1,0,597.57,0,0,1.25,5.5,0,1.12,0,0,0,0,1.86,0,0,59.46,174.67,0,0,0,0,0,0,0,0,9.57
 84-94,0,5.56,0,0,763.89,0,0,0,0,0,0,0,10.03,0.8,1.18,1.88,0,0,34.84,142.68,0,0,1.62,0,3.15,0,0,1.9,0
 96-106,0,12.61,0,0,667.86,2.58,0,0,1.5,0.69,0,0,0,0,0,5.88,3.89,0,64.82,262.28,0,0,0.69,0,0,0.56,0,0.74,0
108-118,0,0.81,0,2.89,711.38,0,3.61,0,1.51,2.05,0,0.58,0,0.82,8,10.29,2.16,0,59.86,186.01,0,0.76,1.42,0,1.97,2.44,2.41,0,0
120,0,2.22,0,0,1046.54,0,2.67,0,7.2,16.43,0,0,0,0,0,19.92,0,5.09,66.63,95.7,0,0,3.27,3.41,0,0,0,0,0
