stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,93.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,43.28,0,0,0,25.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,46.55,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.76,1.01,0,0,0,0,0,0,0,0,1.34,0,0,8.37,0,0,0,0,0,0,0,0,1.34,1.08,0,0,0,0,0
 24-34,0,0,2.08,0,6.39,0.68,0,0,0,0,0,0,7.91,0,12.49,16.13,0,0,0,0,0,0,0,5.05,0.97,1.31,0,0,0.98,0,0
 36-46,0,0,3.63,0,9.06,7.55,0.96,1.77,0,0,0,0,23.41,0,7.7,36.13,0,0,0,0,0,6.35,0,0,1.38,2.33,0,0,0,0,1.19
 48-58,0,0,0,0,1.41,4.75,0,6.13,0.69,0,0,0.4,37.2,2.1,4.21,20.69,0,0,0,0,0,0,0,1.81,0,1.5,0,0.42,0.89,0.5,1.07
 60-70,0,0,0.71,0.6,18.68,3.32,6.47,14.35,0,0,0,0.73,44.05,10.98,4.28,25.81,1.36,0,0,0,0,0,0,2.51,0,0.74,0,0.9,0,0.59,0
 72-82,0,0,0,0,7.3,9.19,3.13,7.66,0,0,0.61,0,74.37,11.6,2.3,1.99,0,0,0,0,2.81,0,0,1.69,0,0,0.56,8.94,3.05,5.83,0
 84-94,0,0,0.58,1.07,10.17,0,0.82,9.56,0,0,0,0,96.05,15.26,5.8,4.23,0.67,0,0,0,0,0,0,2.61,0,0,0,4.18,10.61,7.87,1.29
 96-106,0,0,1.74,1.2,1.98,0.64,3.75,9,0.96,2.23,0,0.69,87.63,0,4.76,38,0.77,0,0,0,0,0,0,0.7,0,0.87,0,0,3.51,8.08,8.95
108-118,0,0,0,2.03,4.55,0,2.74,16.11,0,2.62,0,0.54,103.68,3.99,4.57,38.71,2.05,0.6,1.95,0,0,0,0,0,0,0,0,7.69,10.82,11.03,10.24
120,0,0,0,0,10.2,2.43,0,5.79,4.21,0,0,0,207.04,19.63,23.76,33.58,1.94,0,15.16,0,2.54,0,2.24,0,0,0,0,20.04,35.2,82.2,0
