stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.08,446.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.79,195.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23.29,0.88,41.17,0,0,0,0,0,0,0.87,0,0,2.95,0,0,0,0,0,3.15,0,0,0.97,106.47,22.22,0,1.05,0,0,0,3.34,3.86,0,125.78,0,0,0,0,0
 24-34,0,0,17.66,0,17.49,0,0,9.23,0,0.63,0,15.45,0,0,4.39,1.4,0,0,0,0,13.38,0,0,0.81,1219.51,2.14,0,1.31,0,0,0,0,0,0.87,287.01,0,0,3.54,0,0
 36-46,0,0,8.31,0,7.1,0,0,45.91,0,3.26,0.6,30.96,0,0,3.3,0,0,0,0,0,6.95,0,0,3.27,3148.31,0,1.29,11.2,0,5.36,0,0,1.34,2.73,426.09,0,0,0.91,0,2.82
 48-58,0.39,0,2.08,0,27.6,0,0,434.73,0.84,0,10.08,166.2,0,0.94,2.25,0,0,0,6.91,0,22.79,0,0.55,12.54,7318.52,1,5.57,19.21,0,0.72,0,0,0,0,712.55,0,0,0.47,0,13.21
 60-70,0,0,7.13,0,24.75,0.68,0,1350.11,1.44,0,26.56,244.24,6.71,0.76,8.8,0,0,0,7.36,30.34,111.47,0,1.78,14.17,12228.04,0.58,2.46,17.63,0,6.77,0,0,0.73,0,950.74,0,1.19,6.61,2.92,6.74
 72-82,0,0,19.2,0,62.73,8.31,0,2165.04,3.65,2.19,15.9,319.25,7.25,0.66,11.22,0,7.69,0.68,6.13,2.37,302.9,0.59,1.8,14.63,15058.03,0,0.74,15.65,1.61,9.56,0,0,0,0,1004.65,6.41,0.5,22.87,0.96,1.14
 84-94,0,0,34.38,0,63.53,6.39,0,1526.4,0.57,7.32,6.24,198.51,6.01,0,2.65,0,3.22,1.66,1.67,2.24,169.02,0,8.55,23.93,9045.95,0,7.89,11.11,0,17.87,0,0,0.94,0,530.98,1.11,12.3,18.5,0.62,0
 96-106,0,0,33.32,0,83.94,6.04,0,1272.39,0,1.49,18.17,206.69,8.18,0,13.7,0,6.16,0,21,0,251.51,0,3.2,4.78,9156.61,1.24,2.21,15.8,10.44,21.46,4.05,0,0,0,365.47,7.1,3.68,7.39,3.19,4.04
108-118,0,0,26.22,0,65.92,2.96,0.46,1311.77,1.3,3.56,20.61,165.43,1.88,11.14,5.55,0.43,11,0,5.49,0,214.39,0,6.03,9.81,9466.16,0,7.2,9.35,1.23,11.04,0,0,1.63,0,277.2,0,1.84,15.76,1.9,8.88
120,0,0,17.86,0,70.25,3.48,0,1064.02,0,18.3,45.3,136.78,1.51,0,0,5.64,0,0,0,0,230.51,2.91,11.84,28.7,10071.95,9.31,0,29.5,0,2.64,0,0,0,0,315.72,0,6.77,42.69,10.63,0
