stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
  5-6,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,10.99,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.99,2.03,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.62,11.55,0,0,0,0,0,0,1.57,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,0,10.15,1.67,0,0
 48-58,0,0.61,0,2.48,0,1.31,0.38,0,0,0,3.41,0,8.48,0,0,0,0,0.8,4.18,0,0
 60-70,0,0,0,0,0,0.63,0,0,0,0,0.7,0.58,4.39,0.96,0,0,0.96,4.45,0,0.99,6.76
 72-82,0,0,0.73,9.49,0,0,0.61,0.64,0,0,3.26,0,16.24,1.66,0.67,0,0,4.03,3.29,0,0
 84-94,0,1.78,1.05,5.24,0.86,0.56,0.74,0.68,0,4.77,4.97,0,7.34,0,0,0,0,1.55,0,0,0
 96-106,0,0.61,1.65,3.25,0,0,3.74,0,0.58,0,2.92,0,19.5,0,0,0,0,6.49,3.09,1.79,0
108-118,0,0.69,2.19,4.93,0,5.96,0,0,0,0,11.83,0.56,34.89,1.74,0,0,0,3.69,0,0.55,0
120,0,0,0,6.89,0,0,0,0,0,0,3.91,0,24.78,0,0,0,0,5.18,11.04,0,0
