stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0
  5-6,25.39,131.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,16.37,0,0,0,0,41.09,0,0,0,0,0,57.39,3.28,0,0,38.39,5.76,0,0,0,0,0,0
 10-12,0,7.32,13.41,0,0,26.68,0,0,0,0,32.5,0,0,0,0,0,220.63,0,0,0,40.48,0,13.97,0,0,0,0,0
 14-21,0,0,0,1.93,1.53,5.65,0,0,0,0,0,0,0,16.92,5.53,0,49.38,0,0,0,0,1.23,0.86,1.24,6.24,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.93,0,2.45,2.9,0,5.72,0,0,0,0,0.83,10.99,0,0,0,0,0
 36-46,0,0,0,0,1.82,0,0,0.82,0,0,0,0,3.34,0,1.04,0,7.41,0,0,0,0,0,16.99,0,3.21,0,0,0
 48-58,0,0,0,0,0.4,1.08,0,2.64,0,0,0,6.66,7.95,0,0,2.18,33.2,15.4,0,2.2,0,0.52,17.19,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,13.66,0,0,0,0,67.31,1.92,3.39,4.44,0,9.42,0.84,29.66,0,0,32.58,0,0,0,0,0
 72-82,0,0,0,1.19,0,4.16,0,14.7,2.44,0,0,4,30.1,0,12.64,5.91,19.12,1.29,0,17.97,0,0,35.96,0,0,0,0,0
 84-94,0,0,0,1.26,0,3.34,0,13.55,1.81,0,0,4.34,38.8,3.72,8.71,3.62,5.44,3.02,0,23.3,0,1.82,93.05,0,0,0,0,2.13
 96-106,0,0,0,0,2.94,4.6,0,4.56,1.59,0.78,0,1.05,118.51,0,10.87,2.82,3.81,0,0,23.77,0,0,54.84,0,0,4.84,0,0
108-118,0,0,0,4.36,0,2.22,0,0,0,0,0,5.54,71.92,0,7.85,1.89,37.74,1.5,0,25.05,0,1.9,80.03,0,0,0,1.37,2.89
120,0,0,0,9.58,0,32.43,10.97,8.55,0,0,0,0,124.11,3.84,17.13,12.21,120.64,0,2.89,71.12,0,2.55,140.2,0,4.03,2.83,0,2.96
