stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0
 24-34,0,0,0,0.75,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0.66
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.86,0,1.39,1.42,0,0,0,0,0,0
 48-58,0,0,0,4.29,0,1.02,0,0,0.85,0,0,0,0,5.83,0,0,0,0,2.28,0.84,3.34
 60-70,0,0,0,4.57,1.39,0,0,0,5.69,0,0,0,0,12.73,0,0,1.64,0,0,1.08,0
 72-82,0,0,0,10.05,0,0,0,0,0.64,0,0,1.15,0,14.47,0,0,0,0,0,0,0
 84-94,0,0,0,0.77,0,1,0,0,3.14,0,10.08,1.14,0,8.14,0,0,0,0,0,0,2.4
 96-106,0,0,1.07,9.01,0,0,0.64,0,0.71,0,0,0,0,9.7,0,0.79,2.86,0,0,0,0
108-118,0,6.76,0,4.97,0,1,0.7,0.58,3.23,0.72,0,1.46,4.77,16.29,2.53,0.9,1.34,0,0,0,3.66
120,16.75,0,0,0,0,0,0,0,3.12,0,0,0,0,9.28,0,0,0,0,3.58,0,0
