stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,44.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.06,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.13,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,116.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,412.1,8.48,3.38,0,0,0,2.61,0,0,0,0,0.86,0,6.68,0,0,198.9,0,0,202.21,165.65,0.92,0,48.65,0,84.71,19.98,5.25,54.6,3.12,0,0,14.53,0,0
 24-34,0,0,0.68,384.58,1.26,4.51,0.6,5.32,2.08,0,0,0,0,0.71,0,0,79.6,0.76,0,384.68,0.66,0,35.17,149.77,0,5.89,61.22,0,132.54,0,0,16.24,4.53,0,0,19.42,0,0
 36-46,0,0,0,182.13,0,6.19,9.54,4.51,2.19,0,0,0,0,0,6.04,0,64.72,0,1.37,677.4,15.41,1.14,37.72,184.92,0,7.05,33.51,0,123.16,0,0,0,4.84,0,0,12.24,0,1.52
 48-58,1.16,0,0,128.97,0,26.61,3.67,11.39,2.15,14.71,0,0,0.44,0,2.23,0,54.37,0,0,1410.47,5.08,3.94,94.87,350.69,0.51,3.91,47.84,0.79,118.86,0,0,0,13.02,0,2.05,6.81,0,0
 60-70,0,0,0,128.5,3.52,53.81,4.05,11.34,4.65,8.97,0,0,0,0,4.54,0,57.53,0,0,1708.48,2.84,1.97,74.61,506.93,0,3.14,28.96,0,70.37,0,1.58,0,8.83,0,1.19,26.23,0,14.41
 72-82,0,0,0,109.66,0,123.93,2.77,12.75,8.83,12.85,3.98,1.12,0.98,0,3.02,2.68,80.71,0,0,2804.13,1.76,3.3,87.53,465.6,0,9.15,65.26,0,85.31,0,0,0,11.4,1.69,16.59,49.35,5.08,18.98
 84-94,0,0,0,144.72,0,109.97,1.17,13.05,11.09,16.69,1.19,0.64,0,2.46,6.31,1.61,89.82,0,0,2232.14,13.42,3.49,72.24,249.99,0.62,23.75,63.25,0,159.01,0,0,0,7.78,0.55,8.11,29.09,4.09,0
 96-106,0,0,0,246.28,1.17,88.93,12.27,14.64,11.83,27.88,1.59,0,0.91,2.28,7.84,0,156.22,8.4,0,2411.01,27.47,2.81,69.76,304.54,0.73,10.89,83.05,0,187.35,0,0,0,2.89,0,11.31,46.3,0.69,5.22
108-118,0,0,0.74,146.35,1.97,51.54,7.46,6.72,16.23,16.66,1.9,0,0,3.73,5.69,0,74.54,1.34,5.1,2352.05,3.54,8.73,78.9,490.25,1.36,12.2,58.33,3.19,207.1,0,0,0,0,1.68,16.36,26.9,1.23,2.17
120,1.12,0,0,108.86,4.28,48.54,0,5.49,16.5,33.26,1.68,0,4.26,2.07,1.25,0,35.2,2.7,0,1878.47,12.8,55.9,70.92,396.11,0,5.73,18.65,0,116.35,0,0,0,0,3.62,15.17,44.67,12.35,0
