stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3.88,0,0,0,0,0,0,0,0
 10-12,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,4.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.05,0,0,1.95,4.01,0,3.28,16.73,8.31,27.39,0,0,7.15,4.24,0,0,0.86,0,0,0,0,0,0,0,1.71
 24-34,0,0,0.74,0,3.93,0,0,0,17.34,0,38.95,0.73,120.32,25.6,0,0,0.83,33.67,0,0,0,0,0,0,3.82,0,0,2.44,39.41
 36-46,0,0,0,0,2.2,0,0,0,11.23,0,124.16,0,181.01,20.89,0,0,3.82,44.18,0,0,0,1.55,0,0.75,1.38,0,0,13.32,92.45
 48-58,0,0,0,0,2.62,0,6.56,0,0.47,0,106.12,0,125.21,30.08,0,0.88,1.67,27.45,0,0,0,0,0,0,0.8,0,0.64,9.04,28.44
 60-70,0,0,32.9,0,6.45,0,2.35,0,13.54,0,181.06,0,87.78,129.21,0,3.79,1.09,31.82,0,0,0,0,0,3.95,2.85,3.49,0,7.86,21.53
 72-82,0,0,0,0,6.42,0,16.24,0,11.23,0,175.34,0,59.51,135.9,0,0.75,0,45.68,0,0.75,0,0,0,0,0,0,1.23,13.17,10.97
 84-94,0,0,9.71,0,9.52,0,0,0,1.44,0,285.66,10.9,87.25,135.55,0,1.14,0,32.68,0,0,0,0,0,0,0,0,0,16.5,13.64
 96-106,0,1.08,8.63,1.27,13.59,0.65,9.41,0,15.04,0.77,310.83,2.37,46.76,105.17,3.47,0,0,26.71,0.85,0.57,0,0,0.6,0,3.26,0,2.45,39.83,5.14
108-118,0,0,3.72,9.65,10.6,0,2.46,0,0,0,676.26,0,89.86,101.76,0,0,0,53.9,0,0,0,0,0.42,0,0,0.55,5.58,39.5,0
120,0,0,7.85,0,14.41,0,1.43,0,2,0,559.87,0,12.43,74.79,0,0,0,17.01,0,0,0,0,0,0,0,0,0,29.65,11.73
