stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,19.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0,4.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,9.84,0,0,0,13.79,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,2.15,0,0,0.85,0,0,0,0,0,31.92,0,0,0,0,0,2.57,0.81,1.06,4.04,0,0,0,0
 24-34,0,0,0.68,2.29,0,0.7,0,0,0,3.15,0.73,0,0,0,0,0.71,0,0,169.5,0,0,0.65,0,0,18.04,0,0,36.13,0,0,0,0
 36-46,0,0,0,4.38,0,0,0,0,0,9.25,0,0,0,0,0,0.6,0,0,386.93,0,1.54,0.59,0,0,6.79,0,0,92.6,0,0,0,0
 48-58,0,0,0,4.6,0,20.91,0,0,0,31.62,0,0,0.98,0,0,2.51,0,0,462.06,0,0,0,0,1.42,3.47,0,0,67.85,0,0,0,0
 60-70,0,0,0,1.88,0,33.18,0,0,0.81,42.42,0,0,0,0,0,16.14,0,0,1107.95,0,0,0,0,0,0,0,0,60.77,0,0.6,0,0
 72-82,0,0,0,1.35,0.56,148.92,0,0,0,32.15,0,0,0,2.57,2.34,32.34,0,0,1471.89,0,0,0,0,0,1.58,0,0,54.12,0,0,0,0
 84-94,0,0.84,0,4.34,0,84.07,0,0,1.32,23.68,0,0,0,0,0,16.55,1.2,2.05,995.52,0,0,2.57,0,0,1.29,0,0,42.5,0,0,0.91,0
 96-106,0,0.63,0,10.41,5.02,70.84,0,1,0,20.98,0,0,0,0,0,17.33,0,0,1099.54,1.52,1.12,0.59,0,0,0,0,0,29.1,2.03,0,0,3.88
108-118,0,0.95,0,11.05,0,53.06,0.59,0,1.95,25.66,0,0,0,0,4.5,8.97,0,0.9,1033.76,0,0,2.68,0,0.46,0.88,0,0,29.28,0,0,2.61,0
120,0,0,0,10.18,0,122,0,2.41,0,38.29,0,0,0,0,0,93.46,0,3.16,2021.71,0,0,0,0,0,1.73,0,0,29.76,0,0,0,0
