stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,10.32,160.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.98,666.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06,0,0,13.29,0,0,0,0,0
  7-9,15.95,4.35,24.27,0,0,19.08,0,0,0,7.96,0,0,0,0,0,0,341.99,43.87,74.07,3.33,20.89,0,0,0,0
 10-12,0,4.08,6.19,0,0,7.2,0,0,0,4.51,0,0,0,0,0,0,110.94,0,25.96,0,9.69,13.25,0,0,0
 14-21,0,0,0,1.91,0,0,0,1.28,0,0,0,0,0,0.87,0,0.99,0,0,0,1.54,0,0,1.53,0,0
 24-34,0,0,0.67,0,0,16.5,0,1.45,0,0,2.56,0,0,0,0,0,6.57,0,0,1.4,0,0,0,1.01,0
 36-46,0,0,0,0,0,14.01,0,0.83,0,0,0,4.39,0,0,0,0,9.57,0,0,1.87,0,0,0,2.53,0
 48-58,0,0,0,0,0,27.01,0,0,0,0,0,0.38,0,1.08,0,0,5.98,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,90.16,0,0,0,0,0,0.86,6.06,0,0,0,3.13,0,0,0,0,0,0,0,0.7
 72-82,0,0,0,0.7,0,28.39,0,0.49,0,0,0,0,1.44,7.26,0,0,5.92,0,0,0.71,0,0,0,0,0.5
 84-94,0,0,0,1.15,0,30.79,0,1.07,0.57,0,0,0,0.74,0,0.58,0,3.87,0,0,1.14,0,0,0,0,0
 96-106,0,0,0,0,0.66,4.77,0,3.3,0,0,0,0,0,0.89,0,0.59,13.65,0,0,0,0,0,0,0,0
108-118,0,0,0.74,1.77,0,18.53,2.66,0,0,0,0,3.75,2.31,0,0,0,8,0,0,0,0,0,0,0,0
120,0,0,0,0,0,14.38,0,0,1.66,0,0,4.13,0,0,0,0,9.94,0,0,0,0,0,0,0,0
