stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.06,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,6.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.08,14.41,0,0,5.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.93,0.86,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,2.08,33.14,0,0,0,0,0,2.65,0.9,0,9.03,0,0,0,0,0
 24-34,0,0,0,5.36,0,0,6.98,0,0,0,0,0.74,0,0,2.53,1.36,0,0,0,0,7.68,0,0,1.47,34.15,2.85,0,2.75,0,0,6.47,3.44,0.66,9.16,0,0,1.24,0,0
 36-46,0,0,0,2.3,0,0,3.65,0,0,2.31,14.12,0.72,0,0,0,0,0,0,0,0,5.67,0,0,4.4,59.72,0,0,1.66,0,0,10.14,0.63,0,13.25,0,0,1.1,0,0
 48-58,0,0,0,4.93,0,0,15.17,0.57,0,1.27,8.45,0.97,1.7,0,0,0,0.39,0,5.26,0,11.75,0.81,6.17,0.52,26.12,0,0.5,0,0,0,3.49,0,0,7.55,0,0,0.85,0,15.23
 60-70,0,0,0,6.32,0,0,7.75,1.56,1.42,0.83,10.95,2.5,0,0,1.01,0,3.15,0,1.41,1.24,19.64,0,0,0,14.79,0,0.72,0,0,0,2.73,0,0,3.83,0,0.65,0,0,1.56
 72-82,0,0,1.76,0.7,0,0,9,0,0,0,14.96,0,0,1.28,0.63,1.13,0,1.07,1.53,0,22.72,0,0,0.54,27.24,0,0.93,1.56,0,0,10.52,0,0,0.91,2.04,0,0.51,2.42,11.99
 84-94,0,0,1.15,8.14,0,0,3.58,0,1.22,2.22,3.01,1.98,0.6,4.81,0,4.97,5.22,2.18,0,0,23.06,1.94,0,1.81,20.53,2.44,1.26,0,0,0,6.19,1.26,0,1.5,0,0.62,10,1.35,2.53
 96-106,0,0,0.83,4.49,0,0,2.5,0,0,0.82,8.49,6.07,0,0,0,0.85,0.85,0.97,0,0,8.46,0,0,0,14.08,0,5.86,0,0,0.83,6.42,0.69,0,1.63,0,0.93,0,3.38,0
108-118,0,0,0,3.77,1.07,0.55,1.68,0,0,1.56,7.34,1.65,0,0.51,5.22,0,0.9,0.49,0.44,0,4.45,0,0.69,0,7.09,0.54,0,2.97,0,0,7.69,0.41,0,0,0,2.08,1.05,0.72,0
120,0,0,0,8.9,0,0,5.13,0,0,0,1.39,1.55,0,0,0,1.77,0,3.58,0,0,29.87,0,0,1.41,6.71,0,0,1.43,0,0,17.17,0,0,14.56,0,0,0,2.66,0
