stage,mesenchyme,muscle,neural,otic,spinal.cord
 24-34,0,0.62,0,0,0
 36-46,0.68,0,0.77,0,0
 48-58,0,0,0,0,1.49
 60-70,0,0,4.26,3.63,0
 72-82,1.64,0,0,0,0
