stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,56.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.63,0,0,0,17.85,0,0,0,0,4.31,0,0,0,0,0,0,0,0,25.76,0,0,0,18.33,0,0,0,0,0,0,0
 10-12,8.01,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,33.72,0,0,9.32,0,0,0,0
 14-21,0,5.32,0.82,0,9.99,0,0,1,0,0,0,0,0,0,0,6.59,0,4.42,72.18,3.46,0,0,0,1.98,4.17,0,7.05,21.23,0,1.08
 24-34,0,2.31,0,0,21.81,0.61,1.02,0,0,0,1.04,0,0,0,0.76,15.31,2.43,9.42,129.04,0.7,2.71,0,0,3.81,0,0,2.38,26.4,0,6.85
 36-46,0,0,0,0,16.49,0,0,5.86,0,0,0,0,0,0,0,6.44,0.67,1.42,63.92,0.74,0,0,0,0.62,0,0,0,13.46,0,0
 48-58,0,2.68,0,0,12.55,0,0,4.89,0,0,0,0.39,0,0,0,14,0,1.76,15.3,0.45,0,0.4,0,2.85,0,0,0,0,0,0
 60-70,0,3.78,0,0,20.04,4.81,0,10.17,0,0,0,0,0.67,0,0,23.51,0,2.43,27.9,0,0,0,0,2.1,0,0,0,0,0,0
 72-82,0,0.68,6.34,0,19.82,1.15,2.45,15.81,0,0,0,0,0,0,0.5,27.25,0,1.68,15.3,0,1.9,0,0,0,0,0,0,3.95,0,3.34
 84-94,0,0.67,4.27,0.58,28.23,0,1.9,1.28,0,0,0,0,0,0,0,9.17,0.8,2.18,7.43,0,0.81,3.55,0,0.96,0,0,0,0,0,1.29
 96-106,0,4.17,11.37,0,32.25,0,0,4.81,0,0,0,0,0.95,1.88,0,16.28,0,2.11,32.67,0,3.89,0.59,0,0.85,0,0,0,2,0,0
108-118,0,0,14.64,0,16.61,0,0,1.46,0,0,0,0,0,0,0.97,27.44,0,1.66,21.19,0,0,0,0,0.79,0,0,0,0,0,2.3
120,0,1.45,10.88,0,29.44,0,0,34.4,1.39,0,2.5,0,0,0,1.1,38.84,0,2.83,44.79,0,0,0,0,0,0,0,0,0,4.48,2.25
