stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,45.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.61,0,0,0,0,0,0,0,0,27.86,0,0,22.68,0,0,0,0,0,0,0
 10-12,0,9.05,0,0,0,0,0,0,0,0,50.55,0,0,46.33,0,0,26.93,0,0,0,0
 14-21,0,0.93,6.26,1.65,6.43,1.83,0,0,0.91,1.02,56.03,0,0,0,0,8.78,0,19.37,15.38,0,0
 24-34,0,0,3.17,0,8.84,0.91,0,0,7.72,2.1,57.86,1.19,1.09,0,0,0,0,0.85,12.51,0,0
 36-46,0,0,1.87,0,3.85,0,0,0,5.96,1.98,21.68,0,0,0,0.92,0,0,0,4.13,0,0
 48-58,0,0,0,0,3.5,0.52,0,0,4.87,1.13,14.11,9.4,0,0,0.53,0,0,0,4.33,0,0
 60-70,0,0,3.34,0,5.06,0,4.07,5.35,5.08,0.6,18.73,0,0,0,0,0,0,0,0,2.18,0
 72-82,0,0,0,0.51,6.31,1.49,0,0,5.42,0.77,10.1,0,0,0,0,0,0,0,4.28,0,0
 84-94,0,0,0.64,0,2.3,0,0,0,1.59,0.6,6.58,0,0,0,2.05,0,0,0,0,0,2.59
 96-106,0,0,4.36,0,1.94,9.94,0,0,5.67,1.6,11.4,1.29,0.63,0,0,0,0,0,0,0,0.67
108-118,0,0,1.53,0.49,2.81,5.75,0.43,0.56,15.37,3.21,11.53,0,0,0,0.58,0,0,0,0,0,0
120,0,0,6.61,0,4.55,10.84,0,6.1,23.72,2.72,21.19,0,0,0,3.97,0,0,0,0,0,0
