stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  3-4,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,169.14,0,0,0,0,0,0,37.93,0,0,0,0,0,0,0
  7-9,8.13,0,0,15.17,0,0,0,118.74,0,0,44.31,0,0,0,0
 10-12,0,0,0,3.49,0,0,0,23.44,0,0,11.28,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.89,0,0.94,0,0,1.18,0,0
 24-34,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0
 36-46,0,0.62,0,0,0,0,0,4.95,0.93,0,0,1.23,0,1.43,0
 48-58,0,0,0,0,0,0.39,0.57,0.96,0,0,0,0.97,0,0,3.29
 60-70,0,1.52,0.63,5.16,0,0,1.12,22.75,0,0,0,0,0,4.77,0
 72-82,0,0,0,3.82,0,0,0.86,13.98,0,0,0,0,0,0,0
 84-94,0,0.76,0,7.69,0,0,1.87,5.93,0,0,0,7.04,0,1.8,0
 96-106,0,0,0,6.26,2.51,0,1,2.57,0,0,0,2.45,0,0,0
108-118,0,0,0,3.21,0,0,2.94,15.33,0,0,0,3.15,0,0,0
120,0,0,0,0,0,0,0,14.31,0,0,0,0,0,12.11,0
