stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,28.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.22,0,0,0,4.41,0,0,0,0,9.82,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.96,0,0,0,87.11,0,0,0,0,7.31,0,0,0,0,0,0,0
 14-21,0,1.23,21.01,2.36,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0.87,0,0,2.05,41.34,0,0,0,0,0,0,0,15.47,0,0,3.14,20.84,0,0,0,0
 24-34,0,0.59,11.66,1.42,0,6.17,0,3.64,0,1.32,0,0,3.43,0,0,0.63,0,10.91,0,0,6.26,51.72,0,0,0,0,0,0,0,1.1,0,0,1.53,13.12,0,0,6.74,0
 36-46,0,0,29.63,0,0,2.34,0,3.14,0.61,14.54,0,0,0,0,0,0,0,11.68,0,0,7.64,24.28,0,0,0,0,0,0,0.81,0,0,0,0,21.71,0,0,0.91,0
 48-58,0,0,32.52,0,0,15.76,1.42,9.72,0.6,52.3,0,1.01,5.69,2.75,0,0,0,15.28,0,1.24,12.59,60.42,5.1,0.51,0.41,0,0,0,0,0,0,0.46,0,16.45,0,0.37,9.68,0
 60-70,0,0,38.05,0,0,3.64,0.9,6.11,0,123.3,1.57,0,4.7,0,0,0,0,20.89,0,0,3.12,52.73,0,0,1.55,0,0,0,0,0,0,0.72,0,7.95,0,0,13.25,0.73
 72-82,0,0,7.52,0.89,0,10.09,0.91,14.35,0,232.18,1.29,0,1.47,1.02,0.65,0,0,29.13,1.64,2.38,3.1,83.37,0,0,0,0,1.93,8.99,0,0,0,3.74,0,20.24,0,0,38.08,0
 84-94,0,0,34.37,0,0,8.86,7.68,12.04,3.47,158.07,1.32,0,4.14,0.83,0,0,0,17.02,0,0,1.74,94.38,0,0.78,4.3,0,0,1.54,0,0,0,0.62,0,14.95,0,0,18.74,0
 96-106,0,0,19.59,0,0,32.7,3.4,8.03,12.13,173.11,0.62,1.29,1.34,0,0,0,5.25,26.34,0,0.93,9.57,73.52,0,0.89,8.34,0,0,0.65,0,0,0,0,0,4.86,1.64,0,45.61,1
108-118,0,0,23.16,0,0.75,0,5.87,7.37,4.64,161.28,2.42,2.37,2.44,0,0,0,6.77,53.39,0,0,7.23,95.88,1.12,1.49,5.24,0,0,0,0,0,0,1.47,0,3.1,0.81,0,22.75,4.41
120,0,0,57.17,0,0,12.68,2.57,6.36,6.71,294.67,3.66,13.62,23.6,5.92,0,0,0,16.58,1.47,0,0,168.04,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,31.33,0
