stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,4.82,0,0
 24-34,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,46.61,2.46,0,0,0,36.88,0,0
 36-46,0,0,0,0,0,1.03,0,0,0,0,0,0,0.69,0,0,133.77,0,0,0,0,42.7,0,0
 48-58,0,0,0.46,0,0,7.15,0,2.64,0.44,0,0,0,0,0,0,155.54,0,0,0.61,0,30.97,1.27,3.46
 60-70,0,0,0,0,0,73.18,0,0,1.46,0,0,0,7.38,0,0,385.08,0,0,0,0,77.91,0,0
 72-82,0.62,0,3.38,6.96,0,149.81,0,7.68,0,0,2.08,1.36,8.87,0,0,427.97,0,0.76,0,1.95,47.38,0,0
 84-94,0,0,0.9,0,0,128.38,0.68,3.77,0,1.54,0,0,4.64,0,0,254.64,0,0,0.79,0,60.43,0,0
 96-106,0,0,1.89,5.31,0,240.51,1.25,8.77,0,1.73,0,0,2.03,0,0,235.17,0,0,0.99,2.05,7.44,0,0
108-118,4.12,0,0.7,1.52,0,182.44,0,5.91,0,1.72,0,0,1.41,0.45,0,352.2,0,4.35,0,0.94,26.92,0,0
120,0,0,17.12,0,15.5,291.28,1.37,47.82,0,10.02,0,0,16.44,0,4.51,1214.46,0,0,0,0,80.23,0,0
