stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,10.46,109.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,138.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0
  7-9,0,0,0,10.91,0,0,13.83,0,0,0,17.73,0,0,0,0,0,0,0,0,118.27,4.03,0,26.08,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,60.38,4.45,0,37.61,4.52,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,1.97,0,3.8,0,0,1.08,0,0,0,0,0,0,5.32,0,0.9,25.07,0,0,1.96,2.03,2.22,2.82,0,0,9.62,0,0
 24-34,0,0,0,0,1.93,0,4.68,0,0,0,0,0,0.6,0.64,0,0,3.34,0,2.48,32.13,0,0,0,0.97,0,0,0,0.84,12.62,0.72,0
 36-46,0,0,0,0,0,0,0.64,0,1.95,0,0,0,0,0,0,0,1.28,0,0,17.92,0,0,0,0.59,1.64,0,0,0,4.54,0,0
 48-58,0,0,0,0,0.64,0,4.14,0,0.56,0,0,2.17,0,0.4,0.74,0,3.99,0,0,14.62,0,0.4,0,0,0,0,0,0,4.73,0,0
 60-70,0,0,0,0,0,0,3.93,0.69,1.39,1.86,0,6.49,0,0,0,0,0.56,0.7,0.67,21.53,0,0,0,3.28,0,0,0,0,0,0.72,0
 72-82,0,0,1.04,0,0,0,17.14,0,1.9,0,0,60.41,0,0,0.61,0,2.15,0,0,18.11,0,0.81,0,0,0,0,0,0,0,4.41,0
 84-94,0,0,0,0,0.87,11.03,3.24,0,3.39,0,0,72.96,0.8,0,0,0,1.82,1.29,0,20.35,0,0,0,10.46,0,0,0.64,0,0,2.51,0
 96-106,0,0,0,0,2.47,0,1.29,0,5.5,0,0,133.73,0.81,0,1.71,0.63,8.36,0,0,4.72,0,0,0,1.57,6.17,0,0,0,0,10.01,5.25
108-118,0,0,0,0,4.69,1.18,2.09,0,0.65,0,0,204.83,0,0.55,0,0,5.49,0,0.52,16.04,0,1.05,0,0.88,0,0,0,0,0,6.45,0
120,0,0,0,0,5.25,9.8,2,0,0,0,0,432.52,0,0,0,0,3.57,0,0,14.97,0,0,0,0,0,0,0,0,0,24.91,0
