stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,12.66,306.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,6.54,301.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08,0,0,0,0,6.81,0,0,0,0,0,0,0
  7-9,32.75,0,0,38.6,0,0,119.85,0,0,0,23.42,0,0,0,0,0,0,611.54,39.78,0,0,224.75,0,0,0,0,0,0,0,0
 10-12,0,13.75,0,31.12,0,0,175.35,0,0,0,32.81,0,0,0,0,0,0,1054.26,17.28,0,0,314.56,0,11.27,0,14.94,0,0,0,0
 14-21,0,0,0,1.14,20.81,5.58,14.63,0,1.09,0.85,3.13,0,0,0,4.94,0,10.42,133.52,2.77,3.94,4.24,4.16,0,1.12,24.46,0.81,1.15,29.9,42.2,0
 24-34,0,0,0.81,0,4.65,0,18.28,0,0.65,5.09,0,0,0,0,1.41,0,2.9,95.35,2.48,1.31,3.52,0,0,0,0,1.08,0,2.04,17.39,3.02
 36-46,0,0,0,0,0.76,0,8.5,0,2.4,0.95,0,0,0,8.85,0,0,1.15,43.89,0,1.97,0.76,0,0.58,0,0,0,0,0,10.55,0.78
 48-58,0,0,0,0,0,0,25.13,0,0,0,0,0.39,0.4,0,0.39,0,0,25.71,0,0,0.41,0,0,0,0,0,0,0,1.97,0
 60-70,0,0,0,0,0,4.47,32.65,0,1.47,0,0,0,0,0,0.74,1.14,2.07,8.9,0,0,0,0,0,0,0,1.56,0,0,0,0
 72-82,0,0,0,0,0,1.23,134.73,3.99,0,1.79,0.59,0,0,0,1.34,0,0,16.9,0,1.99,0.84,0,0,0,0,3.77,0,0,1.56,0
 84-94,0,0,0,0,0,0,105.86,0,0,0.63,0,0,0,0.86,1.88,0,0.74,6.45,0,2.26,1.23,0,2.13,0,0,0,0,0,2.11,0
 96-106,0,0,0,0,1.28,10.05,174.02,0,1.39,1.07,0,0,0,2.98,0,0,0,9.26,0,0,0,0,0,1.76,0,5.67,0,0,0,0
108-118,0,0,0,0,0.93,0,126.05,0,1.49,1.68,0,0,0,6.22,2.24,0,0.54,15.09,0,0,0,0,0,1.42,0,0,0,0,0,2.17
120,0,0,0,0,0,1.53,88.04,0,0,9.45,0,0,0,1.45,0,0,0,6.14,0,1.77,0,0,1.82,2.3,0,1.97,0,0,0,0
