stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
  5-6,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.39,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,10.29,0,0,0,0,2.52,0,0,0,0
 24-34,0,0,0.68,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,5.18,0,0,0,0,7.72,0.59,0.85,0,0
 36-46,0,0,0.73,0,0,0,0,4.99,0,0,0.57,0,0,0,0,4.86,0,0,0,14.77,0,0.59,0,0,0.9,0,3.7,0,0.92
 48-58,0,0,6.53,0,14.49,0,0.41,1.73,0,0,0,0,1.82,0,0,2.61,0,0,0,13.04,0,0,0,0,0,0,10.01,0,0
 60-70,0,0,3.53,1.18,9.87,0,0,1.71,0,0,0,0,0,0,0,2.82,0,0,1.22,5.75,0,0,0,0,5.42,0,0,0,0
 72-82,0,0,0.64,4.04,4.46,0,0.82,1.53,0,0,0,1.21,0,0,0,14.31,0,0,0,38.99,0,0,0,0,10.49,0,0,0,0
 84-94,0,0,0,0,4.46,5.33,0,0,0,0,0,3.53,1.56,0,0,2.31,0,0,0,9.42,0.65,0,1.46,0,0.58,0,0,0,0.66
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.56,1.08,0,0,17.88,0,0,0,14.99,0,0,0.6,0,0.58,0,0,2.75,0.71
108-118,0,0,0,0,9.84,0,0,0,0.46,0,0,3.42,1.13,0.52,2.47,4.58,0,0,1.17,5.49,0,0,0,0,3.92,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,4.27,2.58,0,0,10.57,1.47,5.84,0,27.96,0,1.26,0,0,1.07,0,0,0,0
