stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.46,0,0,0,0,0,0,0,0,0,0,0,0,34.78,0,0,0,0,0,0,0,0,0,0,0,15.62,0,0,0,12.44,7.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,3.68,0,0,0,0,0,128.75,0,0,0,0,0,0,0,0,0,0,0,58.8,0,0,0,4.71,4.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.88,1.53,0,0.9,0,0,0,0,0,25.66,0,0,5.07,0,0,0,0,0.88,0,0,14.45,40.87,15.24,0,0,0,55.36,0,1.22,0,0,5.36,11.79,0,0,2.5,0,0
 24-34,0,0,0,0,7.5,0,0,5.42,0,0,0,3.21,0.73,0.66,6.33,5.14,7.52,0,0,0,0,1.01,11.22,0,0,124.16,1.26,1.5,0,0,186.29,0,0,0,0,1.36,21.74,0,0,4.51,0,2.64
 36-46,0,0,0,0,3.21,0,0,5.21,0,0,0,9.56,0.67,0.59,0,0,0.93,0,0,0,0,7.51,3.11,0,0.62,103.94,0,0,2.25,0,181.36,0,0,4.74,0,0,45.9,0,0,0,0,2.64
 48-58,0,0,0,0,3.59,0,0,23.62,0,1.45,1.38,38.56,1.26,1.24,0,0,16.25,0.38,0,0,0.78,6.47,6.54,0,0,116.83,0,2.37,2.64,0,117.58,0,0,0,2.5,0,95.94,0,0,11.21,0,5.8
 60-70,0,0,0,0,10.98,0,0,20.18,0,6.67,0,48.23,8.53,0,9.38,2.73,3.23,2.16,2.19,11.64,0,10.4,5.11,0,0,52.63,0,0.83,0,0,85.19,0,0,0,0,0,41.77,0,0,0.57,0,14.76
 72-82,0,0,0.53,0.56,7.27,0.52,0,29.4,2.65,0.68,1.67,88.71,22.04,1.03,0.53,7.4,12.71,6.51,0.95,0,0,31.61,15.48,0,1.36,64.4,0,1.33,2.33,0,97.41,0,0,0,0,0,19.8,0,0,9.96,0,0
 84-94,0,0,2.36,0.78,18.07,0,0.76,13.94,7.04,4.29,5.98,65.74,53,0.6,0.88,4.11,6.63,9.72,1.45,2.4,0.72,12.23,21.6,2.78,4.26,52.67,0,7.75,6.39,0,149.44,0,0,2.25,0,0,21,0.76,0.84,3.89,3,1.67
 96-106,0,0,1.41,9.8,28.09,0,0,18.4,0,0.74,2.35,84.01,53.96,0,3.87,3.6,13.74,2.87,1.32,3.97,0,25.92,34.41,0.73,5.29,62.57,4.18,6.67,7.75,0,121.39,3.82,0,0.71,0,0,1.31,0.67,1.05,5.14,0.74,3.5
108-118,0,0,4.76,14.12,36.8,0.46,0.77,21.44,0,5.07,1.06,43.66,113.55,0,0,9.19,17.2,26.71,1.36,2.7,0,13.71,22.05,0,6.15,60.99,0,3.99,11.04,0,125.21,0,0,0.62,0,0,1.63,4.55,1.7,1.87,0.72,0.57
120,0,0,0,16.4,26.32,2.9,0,4.56,0,6.77,0,67,110.27,0,0,11.39,9.26,4.82,0,12.31,0,13.51,25.25,0,5.76,150.02,0,14.88,37.99,0,69.2,0,0,0,0,0,1.75,6.74,0,11.65,0,0
