stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,1563.34,25896.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.37,0,0,0,0,0,0,0,0
  5-6,1605.06,19610.82,0,17.23,0,0,0,0,0,0,0,47.57,0,0,0,0,0,0,0,0,944.36,74.96,0,0,212.95,598.91,0,0,0,0,0,0,0,0
  7-9,167.85,313.14,0,419.91,0,0,643.59,0,0,0,0,384.42,0,0,0,0,0,0,0,0,6870.66,283.91,0,0,2472.94,23.61,49.41,0,0,0,0,0,0,0
 10-12,0,47.85,0,175.63,0,0,238.06,0,0,0,0,41,0,0,0,0,0,0,0,0,2459.13,63.71,0,0,767.58,3.1,14.99,3.96,112.95,0,9.75,0,0,0
 14-21,0,0,0,11.7,66.12,18.65,22.62,0,0,13.44,3.67,1.58,0,5.3,0,0,1.19,15.61,0,6.36,425.8,22.58,0.83,5.9,9.84,8.05,4.34,20.93,8.67,2.14,11.93,178.09,3.79,0
 24-34,0,0,1.1,2.04,5.54,1.09,16.88,0,1.38,4.51,0.82,0,0,0,2.64,1.59,1.61,6.76,0,4.86,154.9,2.11,1.05,20.5,0,22.14,1.92,0,0,0,0.69,46.96,3.43,0
 36-46,0,0,0,0,0,0,11.57,0,0.67,4.64,1.97,0,0,0,0.65,0,0.89,7.26,0.63,0.58,71.78,0,0,18.64,0,10.47,0,0,1.96,0,0,17.65,0,0
 48-58,0,0,0,0,0.45,0,16.07,0,0,4.55,0,0,1.74,0,0,9.39,2.15,8.21,0,1.28,17.16,0,0,23.81,0,2.22,0,0,0.92,0,0,4.13,0.5,0
 60-70,0.81,0,0,0,2.84,0,12.41,0.81,0,5.01,3.25,0,0,0,0,29.3,0,4.9,0.98,0.89,22.99,0,0,59.42,0,0,0,0,0,0,0,1.59,0,5.98
 72-82,0,0,0,0,0.56,0,13.06,2.24,0,3.33,0,0,0,0,0,39.03,3.23,18.02,0,2.92,12.79,0,0,147.3,0,4.65,0,0,0,0,0,0.99,0.82,0
 84-94,0,0,0,0,2.22,0.97,2.65,0.62,1.34,3.14,0.61,0,0,0,0,47.72,3.61,3.91,0,0,8.34,0,0,131.76,0,5.94,0,0,1.18,0,0,0,0,0
 96-106,0,0,0,0,1.81,0,2.82,0,0,1.68,0,0,0,0,0,105.14,7.06,6.83,0,2.64,5.86,0,0,163.06,0,2.78,1.39,0,0,0,0,1.09,5.58,0
108-118,0,0,0,0,1.5,0,6.19,4.61,0,1.52,0,0,0,0,0,82.55,10.66,1.78,0,0,10.6,0,0,110.96,0,7.27,0,0,0,0,0,0,1.26,0
120,0,0,0,0,6.09,0,2.09,0,0,3.25,0,0,0,0,0,132.07,15.14,5.21,0,0,10.45,0,0,189.38,0,2.07,0,0,0,0,0,0,2.09,0
