stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.23,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.93,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,45.73,0,0,0,8.31,0,0,0,0,0,31.62,0,0,0,0,0,0,0,0,0,0,155.81,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.43,36.98,340.25,27.54,0,26.72,0,0,0,2.24,12.35,4.04,21.41,21.39,3.25,0,0,0,56.09,1.09,0,22.69,232.29,4.37,1.98,13.29,0.99,0,129.11,3.89,9.26,0.93,17.08,48.95,0,0,0,0,0
 24-34,0,0,3.77,5.62,74.83,3.19,0,5.46,0,0,0.64,4.29,2.04,0,1.8,45.42,11.18,0,1.45,4.91,17.21,5.41,0,7.77,173.7,7.87,1.56,1.21,0,0,242.33,0,7.34,0,0,61.92,0,0,5.06,0,0
 36-46,0,0,0.98,2.88,65.8,0,0,16.73,0,1.31,0,5.6,5.98,0,1.64,61.96,4.53,0,0.57,4.66,11.22,1.05,1.08,3.2,402.27,6.68,1.93,4.77,0,0,300.55,0,4.58,0,0,101.26,0,0,1.67,0,0
 48-58,0,0,0,0,45.69,0,0,18.7,1.83,2.23,0.67,7.48,1.6,0,2.23,37.43,0.52,3.3,1.87,1.64,22.48,3.1,0,1.53,417.65,0.74,0,2.03,0,0,110.15,0,4.03,0,0,45.13,0,0,0,0,0
 60-70,0,0,13.19,0,75.73,0,0,49.02,0.59,23.69,1.22,23.11,5.34,0,14.6,71.72,6.67,0,0.8,5.24,48.59,4.74,0,0.77,757.36,0.63,3.57,7.34,0,1.65,132.09,0,6.48,0,0,20.21,0.92,1.28,2.1,0,0
 72-82,0,0,1.3,0,53.05,3.68,0,41.15,0,2.8,6.49,71.83,12.53,0,18.91,62.85,2.52,0,2.48,5.53,61.25,2.48,0.78,4.38,703.98,1.24,1.82,3.22,0,0,140.09,0,0.94,0,0,9.6,4.07,0,1.15,0.57,6.12
 84-94,0,0,2.23,0.57,102.74,4.1,1.03,21.35,0,23.76,0,36.09,15.86,0,11.1,105.14,16.94,0,5.61,2.38,75.56,4.75,3.25,4.22,630.02,0,2.43,5.58,0,0,353.99,0,10.27,0,0,3.97,5.34,3.21,4.44,1.97,17.14
 96-106,0,0,8.22,0,123.97,8.53,3.58,48.48,0.68,33.5,2,89.4,17.81,0,22.38,121.59,19.48,0,5.19,0,75.37,20.87,0,1.53,558.37,0,4.43,7.29,0,1.3,758.92,0,8.6,0,0,12.31,10.56,1.65,9.43,0.61,0
108-118,0,0,3.26,0.44,257.61,3.86,16.33,81.97,0,74.79,1.6,51.77,45.55,0,15.09,110.44,50.25,0.46,11.04,7.89,56.57,20.05,3.76,6.43,620.74,1.36,1.17,5.41,0,1.76,940.82,0,13.01,0,0,3.28,17.84,0.57,2.32,1.4,9.01
120,0,0,0,0,96.11,10.98,0,9.36,0,30.35,0,40.86,17.47,0,10.84,139.69,11.39,0,4.85,1.23,27.23,9.85,0,3.93,803.01,6.29,3.47,0,0,6.38,275.85,0,5.89,0,0,7.84,4.09,1.46,2.17,1.99,0
