stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,495.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.37,0,0,0,0,0,0,0,0
  5-6,29.3,579.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33,0,0,0,13.67,0,7.36,0,0,0,0,0,0,0,0
  7-9,7.42,43.22,0,12.06,0,0,71.46,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,543.31,13.56,0,0,131.78,0,4.34,0,0,0,0,0,0,0,0
 10-12,0,29.86,0,9.83,0,0,63.44,0,0,0,0,0,16.89,0,0,0,0,0,0,0,0,0,0,510.01,25.38,0,0,137.85,0,0,15.22,0,8.7,6.54,0,0,0,0
 14-21,0,0,0,0.81,11.98,0,0.92,0,0,0,3.35,0.82,0,0,0,0,0,0,0,4.63,0,0,10.45,78.21,2.74,0,0,3.21,0,1.51,0,13.18,0,8.23,17.55,0,0,0
 24-34,0,0,0,0,5.12,2.43,19.29,0,0,0,0,1,0,0,0,0,0,0.84,0.69,10.12,0.81,0,3.8,206.46,0,0,0.62,0,0,5.23,0,0,0,5.13,33.15,0,9.42,0
 36-46,0,0,0,0,2.99,1.93,37.32,0,0,0,1.88,0.66,0,0,4.26,0,0,0,0,15.75,0.59,0,7.76,126.35,0,0,0,0,0,6.1,0,0,15.62,0,32.32,0,0,0
 48-58,0,0,0,0,0,0,31.49,0.86,0,0,11.05,1.26,0,0.69,0.57,0,0,0,0,12.58,0,0.42,1.66,107.92,0,0.8,0.54,0,0,7.44,0,0,0,0,36.27,0,0,0
 60-70,0,0,0,0,3.64,0,54.59,0,0,0,5.65,0,0,0,0,0,0,0,0,18.65,0,0,2.25,78.33,0,1.32,0,0,0,0.68,0,0,6.55,0,8.11,0,1.09,7.79
 72-82,0,0,0,0,1.51,0,30.55,0,0,1.37,18.26,0.53,0,0.88,0,0,1.24,0,0,11.06,1.42,0,2.37,90.52,0,1.15,0,0,0,3.54,0,0,0.65,0,6.74,0,0,0
 84-94,0,0,0,1.04,2.75,6.25,27.02,0,0,1.71,10.77,0.8,0,0,0,0.76,0.57,0,0,19.27,0,0,1.52,99.95,0,1.71,0,0,0,4.43,0,0,0,0,8.56,2.45,0,0
 96-106,0,0,0.9,0,3.55,11.77,27.17,0,0,2.93,6.88,0.96,0,1.57,2.57,0,0,0.76,0,19.63,0.67,1.76,0.81,102.27,0,0,1.86,0,4.25,14.45,0,0,0,0,11.05,0,1.67,0
108-118,0,0,0,0,3.82,0.85,34.77,0,1.75,0,9.16,0,0,0,0,0,0.64,2.87,0.51,15.61,0,0,1.07,83.81,0,0,1.6,0,0,2.61,0,0,0,0,0.78,0,0,0
120,0,0,0,0,3.95,1.8,13.23,0,0,6.88,10.42,1.33,0,0,0,0,0,0,0,28.82,0,0,0,206.74,0,1.32,2.08,0,0,1.34,0,0,0,0,0,0,7,0
