stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.24,2186.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.05,0,0,0,0,0,0,0,0,0
  5-6,63.22,1353.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,6.91,28.85,0,0,0,0,0,0,0,0,0
  7-9,24.5,62.23,35.93,0,0,91.36,0,0,0,0,0,11.41,0,0,0,0,0,0,0,0,0,0,638.78,9.15,0,0,368.08,0,4.58,0,0,0,0,0,0,0,0
 10-12,0,37.52,62.97,0,0,60.8,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,531.99,8.6,0,0,238.5,0,9.33,0,4.48,5.41,11.75,0,0,0,0
 14-21,0,0,0.89,19.77,4.02,4.78,0,0,0,3.11,0,0,0,0,0,0,0,0,12.29,0,0,8.71,192.88,3.15,1.03,0,4.84,4.48,0,26.71,3.15,12.04,55.63,0,0.99,0,0
 24-34,0,0,0.6,5.41,0.96,40.67,0,0,0,3.75,0.67,0,0,0,0.61,0,0.72,1.44,35.9,0,0,12.11,434.58,2.23,16.84,2.97,0,11.21,0,0,4.67,2.09,91.18,0,4.22,0,0
 36-46,0,0,0,22.06,0.57,190.93,0,0.74,0,10,0.72,0,1.62,0,0,0,0,0,50.68,0,0,6.72,345.91,0,9.32,0,0,7.55,0,1.63,0,0,65.49,0,1.78,0,9.77
 48-58,0,0,0,7.37,2.68,271.72,2.02,0.37,0,18.43,0,0,0.69,0,0,0,0,0,26.95,0,3.06,6.82,261.62,0,4.54,0.37,0,1.66,0,0,0,0,38.98,0,0,0,0
 60-70,0,0,0,0.79,0,248.47,0,0,0,10.31,0,0,0.87,0,0,0,0,0,21.75,0,1.46,2.65,281.63,3.2,7.97,0.72,0,0,0,0,0,0,29.42,0,3.47,0,1.95
 72-82,0,0,0,3.91,0,131.38,0,0,10.16,8.82,1.87,0,1.15,0,0,0,0,0,34.32,0,0,1.91,223.03,0,14.07,3.17,0,4.27,0,0,0,0,31.46,0,0.77,0,0
 84-94,0,0,0,2.48,0,88.19,0,0,0,6.35,4.51,0,0,1.22,0,0,0,0,22.99,0,7.42,3.47,116.85,0,7.9,1.76,0,3.32,0,0,0,0,25.41,0,10.74,3.61,0
 96-106,0,0,0,1.27,0,79.58,0,0,0,9.73,1.92,0,1.42,1.51,0,0.92,0,1.8,24.68,1.23,2.45,4.56,118.92,0,14.24,1.36,0,0,0,0,0.69,0,9.96,0.83,0.65,0.85,0
108-118,0,0,0.74,4.58,0,75.28,0,0.47,0,21.28,1.76,0,0,1.22,0,0.44,1.45,0,13.79,1.29,0,0,131.89,1.24,6.66,0.99,0,9.73,0,0,0.87,0,1.66,0,7.51,0,0
120,0,0,0,1.4,0,70.52,0,0,0,12.74,0,0,0,0,0,0,0,0,50,0,0,0,137.22,0,5.42,0,0,1.32,0,0,0,0,0,0,1.23,0,0
