stage,blastomeres,epidermis,eye,immune,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,18.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.05,10.98,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0.92
 24-34,0,0.65,1.12,3.02,0,0,2.84,0,0,0,0
 36-46,0,0,0,3.46,0,0,11.83,0,0,0,0
 48-58,0,6,0.62,10.1,0.41,0,8.12,0,0.39,0,1.7
 60-70,0,0,7,12.95,0,0,7.88,0,0,0,0
 72-82,0,0,7.86,21.34,0,0,9.51,0,0,0,0
 84-94,0,0,7.24,33.49,0,0,6.6,0,0,0,0
 96-106,0,0,1.55,56.65,0,0,7.19,0,0,0,0
108-118,0,0,3.76,30.33,0,1.35,1.22,0,0,0,0
120,0,0,0,44.51,0,0,8.07,0,0,0,0
