stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,127.44,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0
  5-6,0,108.34,0,0,0,0,0,0,0,0,0,0,19.33,0,13.83,0,0,0,0,0,0,0,0
  7-9,4.71,0,0,0,0,0,0,0,3.83,0,0,0,10.75,0,15.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,19.16,0,3.38,0,0,0,0,0,0,0,0
 14-21,0,0,42.94,0,0,0,0,0,0,20.49,1.12,0,6.23,0,1.99,0,5.8,0,1.89,2.57,7.36,0,0
 24-34,0,0,0.7,0,10.01,0,0.69,0,0,0.66,0,1.28,5.95,0,0,2.98,0,0,0,0,1.84,0,0
 36-46,0,0,0,0,3.65,5.23,0,0,0,0,1.94,0,6.52,0,0,2.16,0,0,0,0,0,0,0
 48-58,0,0,0,0,3.76,0.83,0,0,0,0,0.8,0,9.39,0,0,6.95,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.2,0,0,0,0,0,1.46,0,9.29,0,0,2.23,0,0,0,0,6.18,0,0
 72-82,0,0,0,0,13.13,1.87,0,0,0,0,1.56,3.54,21.36,0,0,0,0,0,0,0,1,0,0
 84-94,0,0,1.22,1.06,4.12,0,0.67,0,0,0,1.62,0.59,4.03,0,0,1.15,0,0,0,0,0,1.08,0.77
 96-106,0,0,0,2.65,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.84,1.32,0,6.1,0,0,0,0,0,1.33,0,0,0,0.89,0,0,2.57,0,0
120,0,0,0,0,15.56,0,0,5.92,0,0,0,0,28.95,0,0,0,0,0,0,0,0,0,0
