stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,22.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.57,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,16.84,7.35,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0,0.92,0,0,1.5,0,0,5.41,0,0,11.76,0,0,0,0,4.48,1.8,0,0.95,0,0
 24-34,0,0,0,0,0,0.78,0,0,0,0,0,1.11,0,4.77,4.54,0.67,0,0,0,0,1.76,6.21,0,0,0
 36-46,0,0.98,0,0,0,0.69,18.28,0,0,1.05,0,0.61,0,6.27,9.73,0,0.91,0,0,0,7.4,0,0,0,0
 48-58,0,0,0,0,0,6.18,14.02,0.39,0,0.5,0,0,0,11.3,7.81,0,0,0,0,0,1.41,0,0.8,0,1.97
 60-70,0,0,0,0,0,3.44,4.59,0,7.21,0,0,0.67,0,2.69,7.51,0,0,0,0,0,6.01,0,0,0,0
 72-82,0,0,0,0,0,3.68,3.62,0,0,0,0,1.19,0,0.49,11.36,0,0,0,0,0,1.06,0,0,0,0
 84-94,0,0,1.25,0,0,16,7.68,0,0,0,0,0,1.03,0.77,17.69,0,0,0,6.72,0,0,0,0,0,0
 96-106,0,0,0,0,1.05,12.03,8.3,4.45,0,0,11.44,6.67,0,10.77,20.82,0,0,0,0,0,0.64,0,0,0,0
108-118,0,0,0,1.14,0,14.37,8.11,1.72,0,0,0,0,0,5.36,22.66,0,0,8.11,0,0,0.43,0,0,1.54,0
120,0,0,0,0,0,0,4.58,0,0,0,0,0,0,18.25,77.94,0,0,0,0,0,0,0,0,3.74,0
