stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,120.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.43,0,0,0,0,0,0
  5-6,6.31,230.34,0,0,0,0,0,0,0,0,0,0,0,0,0,36.97,0,0,0,0,164.71,0,0,0,0,0,0
  7-9,4.72,16.9,8.66,0,24.26,0,0,0,0,0,0,0,0,0,0,169.88,0,0,0,16.28,3.29,0,0,0,0,0,0
 10-12,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,202.04,4.29,0,0,32.38,16.18,0,4.87,0,0,0,0
 14-21,0,0,0,34.1,0,0,0,0,0.81,0,0,0,0,0,0,4.65,0,0,0,0,36.11,2.77,0.85,3.92,0.88,0,0
 24-34,0,0,0,20.38,0.63,0,0,0,0,0,0,0,0,0.8,0,6.74,0,0.74,1.09,0,4.75,0,0.6,0,0,0,0
 36-46,0,0,0,5.81,0.66,0,0,0,0,0,0,0,0,0,0,36.19,0,5.74,0.97,0,0.59,0,0,0,0,0,0
 48-58,0,0,0,14.24,0.64,0,0,0,0,0,0,0,0,0.44,0,37.31,0,0.91,0,0,0.95,0,0,0,0.7,0,0
 60-70,0,0,0,8.25,11.85,1.62,0,0,3.6,0,0,0,0,1.04,0,58.41,0,3.13,0,0,0,0,0,0,1.17,0,0
 72-82,0,0,0,2.51,22.11,0,0,0.56,3.02,0,0,0,3.3,0.58,0,51.93,0,0,0,0,0,0,0,0,2.7,0,0.92
 84-94,0,0,0,7.29,9.14,1.19,0,0,10.38,2.59,0,0,0,0,0.7,53.58,0,0,2.11,0,0,0,0,0,3.95,0.8,0
 96-106,0,0,0,8.53,16.38,0.73,0,0.59,13.87,2.34,0,1.85,0,8.86,0,14.25,0,0,0.6,0,0,0,0,0,0,0,2.48
108-118,0,0,0,4.55,21.99,1,0.79,0.49,14.06,0,0.44,0,0,4.74,0,39.65,0,1.4,0,0,0,0,0,0,0,0,0
120,0,0,0,4.53,20.52,1.49,0,3.68,51.13,0,0,0,4.15,0,0,32.25,0,4.24,0,0,0,0,0,0,0,0,0
