stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.55,318.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0
  5-6,21.1,282.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,8.57,16.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.94,0,0,0,0,9.54,0,0,0,0,0,0,0,0,0,0,202.87,7.37,0,0,47.69,4.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.69,0,23.34,0,0,234.55,0,0,0,0,0,0,0,0,0,0,2856.6,0,0,0,284.99,4.52,4.8,0,28.34,0,0,0,0,0,0,0
 14-21,0,0,0,0,179.16,10.81,2.62,3.96,0,1.98,17.17,1.15,0,11.93,0,0,0.98,69.08,0,5.23,93.09,4.58,11,0,6.2,0,9.9,19.19,0,0,0,0,0
 24-34,0,0,0.84,0,26.44,0,4.42,15.8,0,0,1.3,0,0,12.81,1.24,0.91,2.92,71.96,0,0.79,2.31,0,14.17,0,0,0.84,0.68,22.79,0,0,0,0,0
 36-46,0,0,0,0,2.76,0,0,1.53,4.4,1.14,0,0,0,38.56,0,0,5.83,34.05,0,0.72,4.68,0,39.28,0,0,0,0,6.31,0,0,3.51,0,0
 48-58,0,0,0,0,0,0,4.03,0.5,0,4.46,0,0,0,81.65,0,0,1.52,8.81,0,4.99,0.61,0,15.71,0,0,0,0,3.57,0,0,0.78,0,0.39
 60-70,0,0,0,0,0,0,4.86,3.84,9,7.33,0,0,0.7,87.83,0,0,2.76,19.86,0,1.43,0,0,18.64,0,0,0,0,12.73,0,0,2.17,0,0
 72-82,0,0,0,0,0,0.61,11,5.48,0.94,4.51,0,0.7,0,146.58,0,0,0.57,37.24,0,0,0,0,9.6,0,0,0,0,9.17,0,1.34,2.04,1.49,0
 84-94,0,0,0,0,3.85,0,9.25,4.11,0,0,0.75,1.46,0,164.55,0,2.25,6.59,7.81,0,4.62,0,0,13.17,0,0,0,0,0,0,1.13,0.56,4.18,0
 96-106,0,0,0,0,1.6,0,15.44,0.59,5.19,7.09,0,0,0,136.17,0,0,0,23.98,0,0.59,0.73,0,12.31,0,0,0.69,0,0,0,1.93,10.23,0.93,0
108-118,0,0,0,0,0.99,0,1.97,8.22,1.16,5.61,1.47,0,0,115.54,0,0,0,20.68,0,0.46,1.97,0,9.2,0,0,0,0,0,3.94,0.86,0,1,0
120,0,0,0,0,0,1.47,28.37,10,0,11.17,0,1.63,0,162.06,0,0,3.45,0,0,10.58,1.86,0,8.08,0,0,0,0,0,0,0,0,0,0
