stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,126.29,2499.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,113.32,2024.71,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,41.27,0,0,0,6.91,0,51.68,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.31,12.6,0,31.67,0,0,0,43.35,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,573.33,15.85,0,0,171.88,0,0,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77,13.63,0,0,52.15,0,0,0,0,9.72,0,0,0,0,0,0,0,0
 14-21,0,0,18.39,31.46,16.36,5.45,0,1.9,0,0,0,2.11,0,0,0,0,0,0,132.19,2.78,0,0,5.1,86.71,0,0,0,0,0,2.95,0.9,0.96,17.71,0,4.8,80.82,0,0,0,0,0
 24-34,0,0,17.63,14.69,4.65,0,0,0.92,0,0.86,0,1.33,4.07,0,0,0,0,0,231.56,3.5,0,0,1.61,27.77,101.49,0,0,0,0,0,0,0,8.52,0,0,135.24,0,0,5.14,0,0
 36-46,0,0,8.94,2.26,2.02,0,0,0,0,0,1.4,0,10.69,0,0,0,0,0,121.19,5.21,0,0,1.6,17.32,75.45,0.83,0,0,0,0,0,0,5.53,0,0,81.09,0,0,1.55,0,0
 48-58,1.92,0,1.73,0,2.19,0,0,4.62,0,0,0,0,16.04,0,0.92,0,0,0,115.41,11.93,0,1.03,0.86,30.63,78.28,0,0,0,0,0,0,0,26.64,0,0,5.19,0,1.54,4.41,0,0
 60-70,0,0,1.22,0,10.34,0,12.72,4.14,0,0,0,0.61,12.69,0,0,0,0,0,211.45,13.13,1.01,15.11,1.36,36.94,0,0,0,0,0,0,0,0,34.4,0,0,2.86,0.81,1.99,9.24,23.03,0
 72-82,0,0,5.96,1.89,41.06,2.46,58.25,30.09,0,0,0.62,5.05,14.18,0,0,0,0,0.99,624.19,51.25,0,25.02,1.32,112.08,0,0.97,0.98,0,0,4.94,0,0,69.66,0,0,13.17,4,32.94,0.66,114.33,5.47
 84-94,0,0,16,8.77,53.58,2.8,163.74,43.98,0,1.47,0,0.73,25,0,0,0,0,0.61,2210.52,36.22,0,16.37,5.13,91.49,0,0,0,0,22.93,2.49,0,0,248.88,0.57,0,9.66,2.85,19.22,0,130.39,0
 96-106,0,0,2.73,0.59,21.46,36.08,142.9,109.16,1.95,1.59,1.26,14.41,26.86,0,0,2.85,9.39,0,3434.48,68.37,2.42,15.96,9.11,408.18,0,0.84,3.91,0,10.74,19.57,0,0,136.33,0.74,0,6.48,7.54,22.13,12,149.31,0
108-118,0,0,4.16,3.51,33.86,7.2,291.28,85.12,0,2.03,0,15.93,21.17,0,0,1.42,2.17,0.74,6636.74,59.42,0,5.71,4.35,431.9,0,0,1.56,0,13.62,28.51,0,0,144.33,0,0,8.4,6.26,6.77,11.27,122.37,6.01
120,0,0,5.48,0,31.45,13.46,111.45,77.14,0,1.49,5.67,10.59,15.41,0,3.65,11.68,0,0,3484.85,60.72,0,2.18,0,285.14,0,0,0,0,0,2.03,0,0,81.76,0,0,4.78,0,33.43,18.57,310.93,11.66
