stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.6,84.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0
  5-6,7.63,41.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,20.23,0,0,8.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.79,0,0,19.52,0,0,0,0,0,0,0,0
 14-21,0,0,1.96,85.17,0,1,0,1.44,0,0,0,2.51,0,0,0,0,0,13.36,2.97,0.83,0,1.63,30.62,0,0,0.86,5.39,0,0,13.58,0,0,0,1.95
 24-34,0,0,0,82.98,0,6.03,0,8.04,1.27,0,0,0.79,0,0,0,2.24,0,25.75,5.82,2.7,0,0.81,80.13,2.23,5.61,0,2.76,0,2.75,20.12,0,0,0,8.77
 36-46,0,0,0,9.34,0,9.47,0,23.97,2.73,0,0,0.75,0,0,0,0,0,80.47,4.78,0,0,1.44,44.25,0,0,0,21.31,0,8.36,17.88,0,0,0,21.52
 48-58,0,0,0,18.53,0,9.63,0,6.65,1.16,0,0,0,0,0,0,0,0,58.97,26.21,0,0,2.83,27.93,0,0,0,0,0,1.46,5.51,0,0,0,1.9
 60-70,0,0,1.7,10.33,0,6.29,0,6.05,1.71,4.22,0,0,0,1.42,0.63,0,0,2.22,100.2,0,0,5.08,43.21,2.33,0,0,0,0.58,4.7,1.63,0,0,2.56,0
 72-82,0,0,1.02,14.21,0,15.73,0,9.05,2.57,0,0,0,3.31,4.38,2.96,0,0,0.5,297.57,0.78,0.76,10.43,31.93,0.53,5.89,0,0,0,0,0,0,4.11,7.03,0.89
 84-94,0,0,0,14.65,7.19,8.19,0.69,11.04,1.33,0,0.71,0,5.5,4.07,1.87,0,0,9.07,258.05,0,0,10.23,21.23,0,1.83,0,0,0,0,0,0.71,0.77,8.26,0
 96-106,0,0,0,15.67,6.89,8.74,1.7,3.5,2.27,2.66,0,0,4.95,1.5,1.28,0,0.7,1.26,265.94,0.92,0.87,12.83,10.24,0,5.12,0,0,0,0,2.94,0,0,13.46,0
108-118,0,0,1.05,15.86,0,1.75,1.12,21.14,0,0.43,0,0,2.12,2.25,2.53,0,1.5,6.99,334.15,0,2.04,1.14,12.4,0,22.21,0,1.51,0,0.5,0,0,8.03,20.12,7.37
120,0,0,0,13.27,0,11.98,21.4,5.06,1.34,0,0,0,4.61,1.01,6.44,0,0,0,439.56,0,0,0,11.32,0,1.02,0,2.18,0,0,0,0,0,0,0
