stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,112.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,279.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.08,0,0,0,0,0,20.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.45,0,0,0,46.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.2,0,6.77,0,0,0,59.35,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,226.3,6.98,0,0,97.51,0,0,0,0,13.71,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.16,7,0,5.81,0,0,0,2.13,0.81,0,1.92,0,0,0,0,0,0,3.05,0,4.7,62.2,0,0,0,2,0,0,0,4.35,0,2.37,15.66,16.28,0,0,4.71,0,0
 24-34,0,0.61,0,6.27,4.08,0,16.02,2.13,1.3,2.64,3.95,0,0,3.99,2.39,0,0.97,0.86,0,0,59.15,0,23.21,395.37,6.43,0,1.61,0,0,1.15,0,0,0,6.27,10.05,82.4,0,0,12.37,0,3.57
 36-46,0,0,0,16.03,0,0,27.45,4.77,0,0.64,24.67,0,0,1.34,0,0,0,0,0,5.5,56.32,2.78,4.55,395.97,11.26,2.28,0,7.09,0,3.47,0,0,0,1.69,0,93.77,0,0,4.66,0,0
 48-58,0,0,0,3.76,0,0,84.87,0.66,1.13,1.48,20.3,0,0,0.71,0.88,0,1.42,0,0,7.24,76.39,1.26,11.7,334.16,0.38,0.43,0.69,0,0,0,0,0,0,0,0,92.57,0,0,15.82,0,1.04
 60-70,0,0,0,4.79,0,0,62.34,0,0,12.67,24.37,0.63,0,9.38,2.45,0,0,0,0,5.43,81.1,0.88,4.55,243.32,0,4.45,2.4,0,0.96,0,0,0,0,0,0,39.36,0,1.31,9.31,0,2.12
 72-82,0,0,0,9.51,0,0,79.48,2.9,5.59,9.36,55.11,1.68,0,5.43,6.91,0.55,0.71,0,0,1.94,176.37,6.14,12.34,332.96,0,1.81,1.32,0,0,3.9,0,0,0,0,0,68.88,0,6.13,22.56,2.52,5.7
 84-94,0,0,0,9.11,0,0,59.7,1.17,5.26,4.65,51.64,0,0,2.63,21.18,0,0,0,0,4.86,113.92,6.48,7.26,164.43,1.52,0,8.92,0,0,0.71,0,0,0,0,0,53.02,0,6.22,14.19,6,0
 96-106,0,1.78,0,6.97,0.67,3.72,38.56,0.73,3.17,4.51,51.16,3.61,0,2.33,10.15,0,0.71,4,0,0,164.54,6.63,9.52,195.67,0,1.63,5.5,0,3.21,4.17,2.06,0,0,4.52,0,22.48,0,2.31,38.58,5.85,2.53
108-118,0,0,0,9.48,0,0,32.91,0,5.09,6.29,69.78,1.72,0,1.01,9.99,0.55,0,1.53,4.66,1.89,169.5,1.53,10.83,211.45,1.03,1.87,1.01,0,2.98,0.88,0,0,1.88,0,0,9.02,0.83,2.81,37.33,1.46,2.8
120,0,0,0,23.41,0,0,39.14,0,7.82,13.26,83.63,10.55,0,4.06,5.65,0,0,0,0,3.24,223.34,4.3,11.63,262.71,1.03,0,0,0,0,0,0,0,0,0,0,24.43,0,0,52.7,3.81,1.1
