stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.57,242.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,132.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0
  7-9,22.69,7.42,0,0,0,6.47,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,110.84,0,0,0,51.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.81,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,91.95,8.3,0,0,23.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.47,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0.87,52.24,1.01,0,0,1.47,0,0,7.05,4,16.22,0,0,0,0,0
 24-34,0,0,0,1.38,0.85,6.55,0,1,0.71,3.03,0,0,0,0,0,0,0,0,19.54,0,0,3.97,130.67,5.45,1.39,0,0,0,2.85,0,0,31.62,0,0,9.42,0,4.12
 36-46,0,0,0,0.6,0,17.82,0,0,1.19,3.43,0,0,0,0,0,0,4.44,0,12.29,0,0,1.43,189.03,0,1.13,0,0,0,8.01,0,0,39.91,0,0,1.75,0,0
 48-58,0,0,0,0,0,41.59,0,0,0.41,12.79,0,0,0.66,0,3.3,0,0,0,14,0,0,2.46,99.59,0,1.97,0.44,0,0,0.79,0,0,26.92,0,0,2.25,0,0
 60-70,0,0,0.57,0,0,49.7,2.44,0,0,11.89,0,0,0,0,0,0,0,3.12,12.96,0,0,0.63,131.86,0,0.72,0.91,0,0,6.7,0,0,15.94,0.84,0,0,0,0
 72-82,0,0,0,0.6,1.43,53.38,0,0,0,8.06,0,0,0,0,0,0,0,0,22.21,0,0.55,0.56,75.75,0,0,0,0,0.72,1.78,0,0,12.11,0,1.12,0,0,0
 84-94,0,0,0,5.19,0.71,45.49,0,2.87,1.83,0,0,0,1.31,0,0,0.66,0,0,11.87,0.93,0,0.71,67.54,0,2.19,0,0,0,1.37,0,0,9.24,0,0,0,0,0
 96-106,0,0,0,1.44,17.25,35.26,0,0,2.04,8.73,0,0,0,1.83,0,0,0,0,20.39,0,1.14,2.75,44.74,0,1.51,0,0,0,9.14,0,0,4.23,0,0,6.28,0.86,0
108-118,0,0,0,4.56,6.2,51.81,0,0,0,12.11,0,0,0,0,0,0,0.6,0.44,11.24,0,0,3.74,95.24,0,0,1.8,0,0,3.38,0,0,10.27,0,1.81,8.78,0,0
120,0,0,0,9.73,0,18.44,0,0,0,24.04,0,0,0,1.53,0,3.19,0,0,13.54,0,0,1.09,96.71,3.06,0,0,0,0,2.72,0,0,0,0,0,0,12.33,9.75
