stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,258.01,3948.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.12,0,0,0,0,0,0,0,0,0
  5-6,243.59,4129.33,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,64.49,0,0,0,31.65,0,81.72,0,0,0,0,0,0,0,0,0
  7-9,74.28,117.66,0,136.61,0,0,0,319.98,0,0,0,0,0,101.97,0,0,0,0,0,0,0,0,0,0,0,3041.3,58.35,0,0,987.66,0,6.54,22.18,0,13.28,0,0,0,0,0,0
 10-12,0,33.86,0,85.52,0,20.4,0,276.62,0,0,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0,0,1810.86,39.24,0,0,664.05,0,3.3,10.22,8.98,81.64,0,0,0,0,0,0
 14-21,0,0,1.32,5.77,57.38,15.79,0,33.62,0,0,0,6.34,6.48,0,1.01,0,2.78,0,0,0,0,30.95,0,0,14.46,532.07,19.72,2.4,7.09,14.66,0,27.59,1.77,50.89,5.38,0.81,30.33,121.82,0,0,0
 24-34,0,0,0,0,10.67,2.81,0,75.95,0,1.39,1.47,12.07,1.19,0,0.92,5.2,1.89,1.57,0,0,1.29,56.71,0,0.91,17.02,737.5,4.51,5.73,4.31,0,0,46.04,0,0,1.06,0,3.46,115.72,0,21.55,0
 36-46,0,0,0,0,8.71,1.26,0,146.69,0,0,0,14.31,0,0,0,3.21,0,0,2.04,2.63,0,42.01,0,0,16.44,441.99,0.65,0,0,0,0,8.28,0,0,0,0,0,84.46,0,3.4,26.76
 48-58,0,0,0,0,10.13,1.58,0,204.19,0,0.62,0.87,22.15,2.42,0,0,0.45,0,3.71,0,0,1.79,51.56,0,4.02,9.41,281.78,0,1.69,3.67,0,0,10.7,0,0,0,0,0,34.76,0,9.7,0
 60-70,0,0,0,0,18.33,0,0,121.54,0,1.4,0.96,26.92,0.85,0,0.66,8.73,0,0.98,1.2,0.87,0,39.93,0,2.31,6.02,158.17,0,1.8,1.97,0,0,2.73,0,0,0.68,0,0,10.63,0,0,0
 72-82,0,0,0,0,10.15,2.64,0,55.05,0,0,0,11.65,0.49,0,0.5,0,3.27,1.44,0.68,0.78,0,25.32,0.73,2.51,6.87,126.95,0,2.57,1.29,0,0,9.81,0,0,0,0,0,16.39,0.76,3.39,0
 84-94,0,0,0,0,11.53,2.58,0,39.61,0,1.72,0,6.95,0.97,0,0.8,0.79,0,8.59,0,1.27,0,22.95,0,0.85,1.93,84.21,0,1,2.35,0,0.77,3.87,0,0,0,0,0,3.9,0,10.23,0
 96-106,0,0,1.78,0,3.13,10.51,0.84,38.72,0,0,0,4.22,0,0,0,0.8,1.59,8.46,0.97,0,0.68,24.36,1.63,0.56,2.93,55.79,1.35,1.38,3.12,0,0,3.78,0,0,0.64,0,0,2.75,0.71,0.92,0
108-118,0,0,0,0,10.14,3.15,0.75,31.48,0.44,0.72,0,13.43,2.94,0,0,4.58,0,0,0,1.48,0,11.13,0,0,5.84,84.66,1.93,0,0.96,0,0,5.21,0,0,0,0,0,0,0,3.68,0
120,0,0,0,0,1.74,8.91,1.71,79.01,0,1.42,0,7.44,2.27,0,0,3.95,0,2.36,0,0,0,36.89,0,2.08,1.67,99.54,3.61,0,3.16,0,0,4.91,0,0,0,0,0,0,0,6.88,0
