stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,98.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,148.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.42,0,0,0,23.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.57,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.32,0,0,0,59.2,0,0,16.55,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,0,0,6.61,0,0,0,0,0,0,6.42,0,2.36,0,0,0,0,0,0.88,0,0,0,2.7,233,0.87,0.84,0,0.94,0,0,0.9,2.53,0,1.03,4.45,55.9,0,0,2.26,0,0
 24-34,0,0.83,0,0,6.29,0,0,11.32,0,0,0,7.86,0,0,0,0,0,0,0,0,2.45,0,0,0,1065.16,1.3,8.7,0.69,0,0,2.73,0,0,0.98,0,0,203.54,0,0,12.23,0,0
 36-46,0,0,0,0,0,0,0,44.78,0,0,0,3.17,0,0,1.24,0,0,0,0,0.67,0.71,0,0,1.94,2302.51,0,1.45,0,0,0,0,0.81,0,0,0,0,396.39,0,0,4.08,0,0
 48-58,0,0,0,0,2.31,0,0,445.91,2.76,1.85,2.26,16.15,0,0,0,0,0,0,2.56,4.57,9.64,0,0,1.11,2121.35,0,3.1,4.2,0,0,0.81,0,0,0.73,0,0,423.35,0,0,3.43,0,2.64
 60-70,0,0,0,0,0.77,0,0,1450.84,0,0,0,7.9,0,0,3.36,0,0,0,0,2.17,11.34,0,0,1.18,1960.57,0,1.29,3.93,0,0,0.66,0,0,0,0,0,292.52,0,0,1.32,0,0.77
 72-82,0,0,0,0,20.31,1.92,0,2200.58,0,0.5,0.81,40.93,1.29,0,0.53,0,2.96,0,3.49,0,27.36,0,0,2.33,1303.28,0,1.22,5.79,0,0,0.86,0,0,0,0,0,107.85,2.5,1.5,18.09,3.85,3.84
 84-94,0,0,1.15,0,27.33,0.59,0,1689.28,0.57,1.42,0.69,34.23,0,1.27,1.48,1.07,2.93,0,0,13.24,12.64,0,0,0.69,901.75,0,3.76,5.49,0,0,1.74,0,0,0.73,0,0,79.84,5.34,0,14.75,0.57,0
 96-106,0,0,0,0,11.45,9.69,0,1724.52,5.56,1.35,0,31.94,0,0.58,4.06,0,0,0,2.16,0,19.23,0,0.62,1.81,699.62,0,1.31,55.48,0,0,4.03,0,0,0,0,0,32.57,1.66,0,12.93,0.56,2.21
108-118,0,0,0,0,25.81,0,0.53,1474.25,1.07,0,8.31,37.42,0.97,0,10.34,0.81,2.02,0,0.51,1.33,18.7,0.53,1.05,0,997.83,0,0.59,18.22,0,1.59,0,0,0,1.48,0,0,37.24,1.73,0,11.21,2.24,2.65
120,0,0,0,0,20.56,5.63,0,875.78,2.34,0,24.13,27.64,29.41,0,10.27,0,0,2.84,0,0,39.65,0,0,0,955.82,2.66,0,8.77,0,3.42,1.8,0,0,0,0,0,22.51,2.31,6.25,24.38,0,0
