stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0
 14-21,0,6.88,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,9.87,1.27,0,0,0
 24-34,0.98,1.47,0,0,0,0,0,0,0,7.37,0,1.58,8.4,2.23,0,0,0,0,1.03,0,0,0
 36-46,0,1.46,0,2.42,0,0,4.48,0,0,6.87,0,1.21,13.15,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.46,4.1,0,0,8.92,0.8,2.16,37.16,0.44,0,0,0,0,2.12,0,0,0
 60-70,0,0,0,1.84,0,1.48,7.95,0.68,0,33.47,0,2.46,39.18,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.7,0,0.68,86.28,0,0,20.84,0.93,6.01,50.86,1.35,0,1.67,0,0,2.18,0,0.5,0.59
 84-94,0,0,0,1.94,0,0.91,46.05,0,0,25.02,2.05,8.47,27.46,0.88,0,0,0,0,0,1.37,0,0
 96-106,0,0.67,0,6.2,0,1.89,187.06,0,1.2,30.13,1.76,7.16,21.43,2.26,0,0,1.38,0,0.87,0.83,0,0
108-118,0,1.92,2.56,8.85,2.46,0.47,238.61,0,0,23.93,1.55,3.49,26.15,0.67,0,0,0.59,0,0,0,0.89,0.49
120,0,0,0,5.3,0,2.36,234.87,0,0,43.14,12.5,4.03,33,4.4,0,0,5.13,0,0,0,0,0
