stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.64,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.77,6.36,4.08,0,4.45,0,0,0,6.51,0,0,0,0,0,0.93,0,0,17.93,0,0,20.68,160.8,3.67,0,0,0,1.62,0,2.09,0,30.31,80.04,0,0,0,0,0
 24-34,0,1.34,21.07,0,0,3.79,8.76,0,0,7.75,0,0,0,0,0,1.38,0,0,44.42,0,0,49.31,955.57,2.9,0,0.61,0,5.16,0,0,0,2.58,247.33,0,0,7.79,0,0
 36-46,0,0,5.77,1.97,0,19.28,0.56,0,1.45,12.38,0,0.57,0,0,0,0,0,0,71.92,0,0.8,30.65,1222.32,10.48,0.6,0,0,0,0,0,0,0,293.43,0,0.62,16.45,0,3.23
 48-58,0,0,22.51,0,0,41.09,0,0,1.06,44.2,0,1.17,0,0,0,0.59,0,0,101.22,1.76,2.44,14.54,1004.43,9.11,0,0,0.56,1.2,0,0,3.19,0,263.16,0,0.85,1.27,0,0
 60-70,0,0,14.3,0,0,48.91,0,0,0.64,54.84,0,0,0,0,0,0.72,2.74,0,131.24,0,11.75,1.17,730.94,0,0,0,0,6.43,0,0,0,0,187.38,1.22,0.84,8.03,0,0
 72-82,0.87,0,10.47,3.96,0,71.97,0,0,0,40.74,1.39,0.66,0,0,0,2.66,0,0,161.8,0,3.24,6.09,711.79,0.63,0,1.33,0,0.52,0,0,0,0,129.09,0,2.58,33,6.74,0
 84-94,2.24,0,12.78,0,0,65.42,0.69,1.26,0,30.52,3.49,0,1.01,1.56,0,6.41,0,0,87.51,0,4.76,6.1,420.69,1.6,0,0,0,0,0,0,0,0,85.14,0,6.73,16.08,16.32,0
 96-106,0,0,30.46,1.27,0,56.51,1.64,0.93,0,45.83,1.09,2.94,0,0,0,0.75,0,7.1,139.16,0,25.09,18.91,442.63,1.87,0,1.16,0,10.64,2.06,0,0,0,82.92,0,1.94,32.51,12.69,0
108-118,0,0,28.8,0,0.89,72.03,7.59,4.43,4.29,57.97,4.29,0,0,0,0,4.76,0,0,93.87,1.27,19.57,17.2,496.78,2.88,0,0,6,0,0,0,0,0,35.07,0,3.3,12.71,12.8,0
120,0,0,48.44,0,0,113.86,2.57,1.35,0,57.95,0,0,0,2.58,3.86,1.62,3.29,0,134.01,4.39,56.85,18.35,833.06,0,0,0,6.29,0,0,0,0,0,45.03,0,0,19.57,14.71,0
