stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,343.48,8354.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.47,0,0,0,0,0,0,0,0,0,0
  5-6,435.27,7776.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.98,16.8,0,0,91.48,0,93.72,0,0,0,0,0,0,0,0,0,0
  7-9,127.89,119.44,68.88,0,0,151.77,0,0,0,0,0,35.76,0,0,0,0,0,0,0,0,0,0,0,1958.85,119.35,0,0,796.66,0,0,63.44,0,0,0,0,0,0,0,0,0
 10-12,0,65.17,69.29,0,9.45,97.96,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,0,0,1482.2,39.34,0,0,484.07,0,0,5.55,0,67.55,0,0,4.33,0,0,0,0
 14-21,0,0,2.09,15.78,6.93,8.23,0,0,0,3.63,1.81,0,3.15,0,0,0,0,0,0,12.34,0,0,12.89,132.37,4.19,1.1,0.93,4.35,0,0,0,19.89,2.99,0.93,12.13,41.31,0,0,0,0
 24-34,0,0,0,4.54,0,18.7,0,0,0,6.85,0.61,0,1.06,0.67,0,0,0,0,1.41,20.84,0,0,3.95,216.13,0.73,1.05,5.46,0,0,10.42,0,0,1.77,0,0.64,44.31,0,13.37,0,0
 36-46,0,0,0,1.15,0,26.8,0,1.03,0.67,3.86,0,0,0,0,0,0,1.79,0,0,22.42,0,0,10.75,210.33,0,0,7.64,0,0,3.38,0,0,0,0,0,43.28,0,3.26,0,0
 48-58,0,0,0,3.12,0,52.53,0,0,1.24,11.88,0,0,0,0,0,5,0,0,0,30.18,0,1.32,4.29,138.87,0,1.12,0.77,0,0.47,1.14,0,0,0,0,0,27.32,0.42,0.51,0,2.86
 60-70,0,0,0,12.82,0,52.36,1.41,0,0,10.23,0.63,0,0,0.98,0,0,0,0,0,15.66,0,0,2.05,50.73,1.83,2.22,0,0,0,0,0,0,0,0,0,13.74,0,5.1,0,0
 72-82,0,0,0,1.85,0.55,38.1,0,0,0.54,13.98,0,0,0.5,0,0.93,0,0,0,0,40.4,0.55,1.66,0.84,49.28,0,1.03,1.86,0,0,0.59,0,0,1.66,0,0,24.21,0,2.62,0.79,0
 84-94,0,0,0,0.58,1.01,25.68,0,0,0,10,4.7,0,0,1.27,0.74,1.37,0,0,0,26.21,0,0.66,4,39.47,1.8,0.61,0,0,0,0.97,0,0,1.78,0,0,0.68,0.62,0.63,0,0
 96-106,0,0,0,0.6,0,16.43,0,0,3.18,12.01,0.56,0,1.39,0.59,0.99,0,1.11,0,0,9.33,0,1.24,7.88,48.22,0.62,1.73,0,0,0,1.97,0,0,0,0,0,4.24,0,3.91,0,0
108-118,0,0,0,1.12,0,18.89,0,1.62,0.59,4.66,2.81,0,0,0.54,0,1.57,0,2.22,0,13.95,0,6.85,0,43.61,0,0,4.06,0,1.95,3.84,0,0,0,3.63,0,0,0,1.63,0.55,0
120,0,0,0,9.65,0,37.72,0,0,2.36,14.87,1.93,0,0,0,0,0,0,0,0,11.51,1.31,0,3.21,91.02,0,13.27,0,0,0,0,0,0,0,0,0,5.86,0,3.67,0,0
