stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,35.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.57,0,0,1.75,0,0,0,1.81,1.08,0,0,0,0,0,0,0,0,0.81,0,0,0,9.38,0,0,0,0,0,1.84,0,0,1,2.97,0,0,0,0,0
 24-34,0,0.6,2.82,0,0,11.52,0,0,1.24,0,0,0,0,0,0,0,0,0,0,10.16,0,0,2.71,97.74,0,0.65,2.14,0,9.04,0,0,0,1.51,29.44,0,0,4.78,0,0
 36-46,0,0,2.51,0,0,15.22,0,8.55,0,3.79,0,0,0,0,1.02,0,0.77,0,0,8.86,0,0,0.96,61.41,0,3.98,4.54,0,0.85,0,0.59,0,0,20.93,0,0,0,0,0
 48-58,0,0,11.32,0,0,46.3,0.37,3.41,0.47,8.86,0,0,1.47,0,0,0.38,1.69,17.71,6.87,11.91,0,0,2.65,74.61,0,0,1.15,0.4,5.05,0,0,2.52,0,14.62,0,0.4,5.2,0,0
 60-70,0,0,10.04,0,0,34.98,3.69,0,0,12.13,0,1.77,0,0.58,1.69,0,0,57.61,1.05,4.79,0,0,0,80.51,0,1.08,3.57,0,4.68,0,0,2.16,0,13.66,0,0,3.24,0,0
 72-82,0,0,7.87,2.2,0,54.43,0,1.28,1.07,9.9,0.51,0,0,0,0,0.57,0,146.39,0,16.21,0.93,3.52,1.71,106.02,0,2.61,0,0,4.84,0,0.76,0,0,11.06,0,0.81,13.54,0,0
 84-94,0,0,12.4,7.59,2.96,27.68,0,0,1.76,6.87,0,0,0,1.55,1.68,8.94,0,540.33,1.53,31.13,0,0,0,93.11,0.63,0,1.29,0,9.16,0,0,0,0,5.98,0,0,3.65,0,0
 96-106,0,0,2.28,14.49,1.07,42.92,0,0.66,0,8.99,3.92,0,0,6.03,0,1.14,0.92,696.19,0,28.6,0,0.66,1.08,116.27,0,2.03,4.44,1.45,16.5,0,0,0,0,2.95,0,0,1.32,1.56,0
108-118,0,0,4.29,0.61,2.22,17.85,0,1.38,0.74,11.01,1.15,0,0,3.68,1.59,1.03,1.68,1164.76,0.83,23.7,0,3.3,2.38,85.42,1.72,0,3.84,0,12.67,0,0,0.49,0,3.16,2.69,0,1.23,0,0.6
120,0,0,1.09,0,2.42,58.56,2.29,0,0,22.29,0,0,0,0,1.05,0,0,601.27,0,13.8,0,0,0,164.31,0,2.28,0,0,0,0,1.13,0,0,0,0,0,1.54,0,0
