stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,neural,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0.69,1.16,0,0,0
 48-58,0,0,18.69,0,0,0,0,0,0,12.42,0,0,0,0
 60-70,0,0,83.09,0,0,3.79,0,0,0,20.64,0,0,0,0
 72-82,0,0,94.27,0.5,0,7.78,0,0,5.77,40.16,0,0,2.88,2.27
 84-94,0,0,131.58,0,0.87,0,0,0,2.44,5.37,0,0,0,0
 96-106,0,0,310.71,0,0,0,0,1.05,2.09,2.19,0,0,0,0
108-118,0,1.32,268.67,0,1.3,0.64,0,0,3.11,16.18,1.9,3.22,0,0
120,7.03,0,105.76,0,0,5.66,1.12,0,9.69,41.16,0,0,0,0
