stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,365.82,7389.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,211.15,2432.51,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,211.12,17.23,0,0,46.98,0,14.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,192.7,102.86,97.58,0,0,264.68,0,0,0,0,0,41.35,0,0,0,0,0,0,0,0,0,0,2158.81,99.32,0,0,779.33,0,0,49.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,111.21,121.06,0,15.03,166.79,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,2930.24,100.95,0,0,900.07,0,0,3.03,0,107.55,0,9.11,13.76,0,0,0,0,0
 14-21,0,0,1.49,12.92,0,0.89,0,0,0,1.85,0.82,0,0,0,0,0,0,0,7.7,0,0,1.83,207.06,0,0,3.74,7.98,0,0,0,21.27,1.37,0.81,5.83,58.84,0,0,1.45,0,0
 24-34,0,0,0.6,5.61,0,60.78,0,0,0,6.8,0,0,0.98,0,0.67,0,1.46,0,37.2,0,0,6.14,771.93,0.77,3.16,3.9,0,0,8.48,0,0,1.13,0,2.02,131.9,0,0,5.26,0,2.86
 36-46,0,0,0,7.4,1.44,135.19,0,0,0,19.75,0,0,0,0,0,0,0.65,0.62,44.96,0,0.8,8.88,618.42,0,2.31,2.68,0,0,3.92,0,1.39,0,0,0,145.14,0,0,1.08,0,0
 48-58,0,0,0,4.15,0,168.64,0,0,1.75,36.61,0,0,2.22,0.84,0,3.7,0,0,49.97,0.82,0,4.85,311.09,0.56,1.11,0.77,0,0,0,0,0,0,0,0,68.44,0,0,1.92,0,0
 60-70,0,0,0,7.66,0,152.12,3.7,0,0,50.91,0.62,0,0,4.58,0,4.45,3.6,0,57.15,0,0,4.53,179.81,0,5.29,1.67,0,0,0.65,0,0,0,0,0,21.72,0,1.19,3.36,0,3.58
 72-82,0,0,0,2.66,0,64.85,0,1.28,0.59,23.89,0,0,0.55,0,0.51,0,1.33,0,22.92,0,4.43,3.61,70.2,0,1.29,0,0,0.83,0,0,0,0,0,0,12.43,0,0,0.62,0,0
 84-94,0,0,0,3.98,0,68.23,0,0,0,23.24,0.76,0,2.42,3.35,1.17,0,0,0,31.77,0,0.58,5.07,81.2,0,1.04,5.61,0,0,0,0,0,0,0,0,12.3,0.83,0.88,6.84,0,0
 96-106,0,0,0,2,0,30.04,0.71,0,0.86,17.49,1.39,0,0,0,0,0.91,0.78,0,16.81,0,2.11,0,69.84,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,3.77,0.66,0
108-118,0,0,0,3.89,0,28.5,0,0,0,11.53,0.61,0,0.63,0,2.9,0,1.05,0,8.5,0,5.23,0,86.18,0,0.5,0,0,0,0.65,0,0,0,0,0,1.14,0,1.5,6.17,0,0
120,0,0,0,0,0,68.24,0,0,0,15,3.28,0,0,2.73,0,0,0,0,25.27,0,0,5.05,96.51,0,1.45,0,0,0,0,0,0,0,0,0,19.7,1.84,0,0,0,0
