stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,35.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.02,0,0,0,0,0,0,0,0,0
  5-6,8.85,23.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.43,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,0,0,0,0,0,0,0,0,0,0,27.84,0,0,0,0,0,0,0,0,0,0,0,31.98,51.3,0,0,16.74,0,7.21,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,7.87,0,0,0,0,0,67.09,0,0,0,0,0,0,0,0,0,0,0,59.03,67.19,0,0,15.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,37.89,0.81,0,0,0,0,0,0,0,6.2,0,0,1.9,0,0,0,0,5.24,0,0,6.09,2.57,10.88,0,0,0,0,36.73,1.12,0.81,0.95,11.43,0,0,0,0,0
 24-34,0,0,1.64,16.49,0,0,7,0,1.3,2.23,0,0,0.66,0,0,4.99,0,0,0,0,26.29,6.85,0,24.36,22.56,3.49,0.69,0,0,0,70.18,0,1.13,2.82,8.43,0,0,1.34,0,5
 36-46,0,0,0,9.96,0,0,0,0,1.03,2.5,8.97,0,0,0,0,2.52,1.36,0.98,0,1.45,17.95,1.68,0,11.05,12.07,1.2,1.38,5.32,0,0,75.14,0,0,0,10.4,0,0,0.56,0,2.45
 48-58,0,0,0,9.2,0,0,9.76,0,0.62,4.29,8.98,0,0,0,0,2.21,1.24,0,1.52,0,63.08,2.27,0,9.2,21.08,0.92,0.37,1.22,0,0,60.65,0,0,0,3.01,0,0,3.18,0,10.81
 60-70,0,0,0,6.07,0,0,10.86,4.47,2.14,2.59,16.35,1.41,0,0,3.92,1.18,0,1.39,2.12,0,84.8,1.01,2.99,3.22,21.17,5.61,3.27,0,0,0,53.03,0,0,0,2.74,0,1,0,1.25,2.64
 72-82,0,0,0,7.37,0,0,11.85,0.74,4.15,2.44,18.2,0.74,0.65,0,0,1.22,0,4.43,2.44,0,69.55,3.83,0.68,2.22,27.62,0,0.71,5.01,0,0,31.87,0,0,0,3.82,0,0.73,0.6,0.72,2.08
 84-94,0,0,0,15.47,0,7.49,5.16,0,3.38,5.24,7.89,3.52,1.42,0,1.8,5.96,0.96,0.9,1.44,0,54.33,2.96,1.06,6.86,16.32,2.78,5.27,0,0,0.57,93.54,0,4.91,0,4.74,0.66,2.41,1.97,0.89,0
 96-106,0,0,0,19.38,0,4.69,11.46,0,5.96,1.76,8.94,7.84,1.32,2.28,1.71,5.07,0,8.87,0,0,36.8,21.07,0,0,18.95,0.77,1.97,12.25,0,0,77.25,0,1,0,7.45,1.54,0.67,1.66,2.11,0
108-118,0,0,0,31.64,0.69,14.72,6.72,0,6.34,4.61,3.67,10.41,0,0,0,5.33,0,11.84,4.92,0,21.16,3.24,1.96,0,14.87,0,5.01,0.51,0,0,52.88,0,0,0,0,0.58,1.16,0,0.56,0
120,0,0,0,72.65,0,4.44,2.11,1.26,11.83,0,0,2.7,0,0,17.66,0,0,0,1.43,0,36.16,0,0,3.62,18.38,0,0,3.96,0,0,40.23,0,0,0,0,0,0,0,0,0
