stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,17.59,0,0,0,0,0,0,0,0
 14-21,0,0,3.83,0,0.82,0,0,0,0,0,0,0,1.76,0,0,12.18,0,0,0.85,0,0,0,1.28,0,0,19.49,0,0
 24-34,0,0,1.28,0,0.62,0.95,0,0,0,0,0,0,0,0,0.65,88.24,0,0,0,0,0,0,0,0,0,49.35,0,0
 36-46,0,0,0,0,4.27,0,0,0,0,0,0,0,2.58,0,0.61,202.06,0,0,0,0,0,0,0,0,0,62.91,0,0
 48-58,0,0,0.85,0,85.99,0,0,0.96,0,0,3.23,0,2.84,0,1.61,335.15,0,0,2.66,0,0,0,0,0,0,30.15,0,0.93
 60-70,0,0.57,4.98,0,227.81,0,3.35,9.17,0,0,0,0,4.35,0,0.77,519.15,1.36,0,0.95,0,0,0,0,4.97,0,85.59,1.51,0
 72-82,0,0,3.09,1.23,172.66,0.63,0,26.9,0,0,0,0,4.59,0,0,499.88,0,0,0.96,0,1.03,0.55,0,0,0,47.67,0,0
 84-94,0,0,3.73,0,204.28,0,1.93,30.83,0,0,1.13,0,20.14,0,0,309.78,0,0,5.72,0,0,0.58,0,0,0,68.68,0,0
 96-106,0,0,3.24,7.32,159.71,0,2.73,13.64,0,0.69,1.03,0,5.19,0,0,273.65,0,2.42,4.54,0,0,0.61,0,0,0,17.58,0,6.78
108-118,0,0,4.94,0,174.65,1.01,0.65,25.31,0.8,0,0,1.1,10.97,0,0,308.94,0,1.12,1,0,0.91,0,0,0,0.53,24.25,0,0
120,0,0,2.84,0,180.88,0,0,31.78,0,0,0,0,4.31,8.17,2.81,483.72,0,0,1.61,0,0,1.35,0,0,0,5.92,0,0
