stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.05,177.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,169.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,9.92,0,5.53,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.19,12.41,0,0,18.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.28,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.39,0,0,0,38.44,0,0,0,4.8,0,0,0,0,0
 14-21,0,0,1.13,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,27.79,0,0,0,0,0,0,0,0,0,2.37,0,0,0
 24-34,0,0,0,0,3.85,0,1.15,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0.63,587.44,0,2.35,0,0,0.99,0,0,0,0,32.71,0,0,0.6
 36-46,0,0,0.95,0,0,0,6.81,0,1.39,0,1.99,0,0,0.56,0,0,0,0,0,0,2.17,0,0,0,1975.11,0,6.09,0,0,0,1.93,0,2.32,0,62.28,0,0,0
 48-58,0,0,0,0,8.09,0,54.9,0.81,0,0,17.36,0.43,0,1.86,0,0,0,0,0,19.15,7.32,0,0,0,3792.88,2.32,4.06,0.7,0,0,0.95,0,1.33,0,110.57,0,0.5,0
 60-70,0,0,0.89,0,4.17,0,90.45,0,0,7.05,17.31,0,0,0,12,0,0,0,0,0,5.63,0,0,1.33,4811.22,1.73,2.09,0,0,0,0,0,2.53,1.01,130.47,0,2.96,9.02
 72-82,0,0,0.64,0,5.74,1.47,162.1,0,0,1,22.93,1.48,0,2.16,0,1.07,5.22,0,0,0.95,35.25,0,0,4.71,4654.68,0,0.57,0,0,0,2.09,0,5.34,0,119.05,0.61,11.14,5.81
 84-94,0,0,1.55,0,7.04,1.79,175.18,0,0,0.58,23.39,0,1.3,1.1,0,1.15,0.67,0,0,0,21.64,0,0,1.7,2647.39,0,1.11,0,0,0,0,0,0,0,58.39,0,2.48,6.59
 96-106,0,0,0,0,7.93,9.89,74.2,0,0,1.53,17.61,0,0,1.61,0.87,0,0,1.2,22.79,0,20.74,0,1.76,0.71,2168.71,0,2.18,0.59,0,0,6.05,0,2.92,0,42.18,1.26,4.94,8.68
108-118,0,0,1.31,0,21.64,0,98.7,0,0,0,10.55,0,0,0,0.74,0,0.46,1.24,7.43,0,16.54,1.22,1.23,6.33,2404.45,0,0.65,2.73,0,0,0.62,0,1.91,0,28.46,1.53,0.44,0
120,0,0,0,0,5.13,5.12,85.82,0,14.64,0,40.64,0,0,1.85,9.27,0,0,0,0,0,36.64,0,0,3.67,3718.02,0,0,0,0,0,0,7.49,0,0,52.3,0,0,0
