stage,blastomeres,epidermis,eye,glial,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,20.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.86,0,3.79,0,0,0,0
 14-21,0,1.05,0,0,0,0,0,0,0,0,0,18.89,0,0,1.18,1,0,0
 24-34,0,0.95,0,0,0,1.08,0,0,0,0,2.68,4.41,0,0,0.77,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,20.12,0,0,2.64,0,0,2.41
 48-58,0,0,0.66,0,0,0,0,0.45,0,1.42,0,1.74,0.89,0,0,0,0.87,0
 60-70,0,0,5.04,1.48,0,0,0,1.48,0,0,0,3.77,0.74,0,0,0,1.31,0
 72-82,0,0,0,0.63,0,0,3.49,0,1,0,0,3.74,0,0,3.08,0,0,0
 84-94,0,0,1.72,2.95,0,0,0,3.86,0,0,0,3.1,0,0,3.5,0,0,0
 96-106,0,0,0,1.35,0,0,0,0,0,0,0,17.39,0,0,0,0,0,0
108-118,0,0,0,0,0.59,0,0,0,0,0,0,0.97,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0
