stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.96,8.71,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0.91,2.93,0.91,0,0,0
 24-34,0,0.8,0,0,0,1.12,0,0,0,0,0,2.12,0,0,0,2.93,0,0,0,0,1.22,0,0,0,4.99,0.84,0
 36-46,0,0,0,0,8.04,0,0,0,0,0,0,7.03,0.77,0,0,1.05,0,0.62,0,0,0,0,0,0,0.84,0,0
 48-58,0,0,0,0,11.2,0,0,0,0,0,0,26.63,0,0,0.47,10.31,0,0,0,0,0.38,0,0,0,0.68,0,0
 60-70,0,0.6,0,0,43.23,1.17,2.49,0,0,0,0,32.81,0.76,0,0,6.9,0,0,3.17,0,2.37,0,0,0,2.26,0,1.98
 72-82,0,0,0,6.47,12.9,2.01,2.54,0,0,0,5.83,69.3,0.83,0,0.85,21.21,0,0,0,0,0,0,0,0,2.74,0,0
 84-94,0,0,0,0,16.04,0,12.12,0,0,0.73,0,198.83,0.83,0,0,17.34,0,0,0,0,1.72,0,0,0,0,0,0
 96-106,0,0.95,0,5.59,8.99,2.23,10.62,0,1.58,4.1,0,350.06,6.66,0,0,60.91,0,0,0.67,0,2.35,0,0,0,0,0,0
108-118,0,0,1.16,0,24.12,3.72,10.25,0.47,0,0,0,698.1,6.34,1.06,0,76.47,0,0,0,0,6.94,0,0,0,4.85,0,9.3
120,0,0,0,0,30.95,0,6.68,0,0,0,0,308.87,16.59,0,0,42.78,0,0,0,0,5.53,0,0,0,0,0,0
