stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,3.69,3.14,0,0,0,0,0,1.41,0,5.01,0,0,0,0,0
 24-34,0,0,0.61,1.32,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,6.83,0,0,15.36,9.39,0,1.62,4.13,1.61,0,0,0,6.14,0,0,0.6,0,0.6
 36-46,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0.56,0,0,0,7.21,0,0,4.65,1.26,0,1.71,1.88,0,0,0,0.62,0.62,0,0.62,11.53,0,2.11
 48-58,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,12.31,0,1.2,1.73,14.57,1.35,0.87,6.37,0,0,0,0,6.51,0,0,1.33,0,13.69
 60-70,0,0,0,0,0,0,1.24,0,0,0,92.44,0,0,0,0,0,0,0,0,35.13,0,2.54,1.15,2.93,0,0.83,0,3.24,1.06,0,0,3.03,0,0,4.57,0,0.69
 72-82,0,0,0,0,6.44,0,11.8,0,0,0,229.69,0,1.42,1.81,0,1.49,2.92,1.74,0,87.14,0,6.48,3.68,13.25,0,1.63,1.3,4.09,0,0,0,10.39,0,7.35,8.71,4.47,3.15
 84-94,0,0,0,1.19,0,0,18.55,0,0,0,179.76,1.63,0,2.53,0,2.15,1.42,1.22,0,70.22,0,2.69,4.61,5.76,8.86,11.95,9.49,1.66,0,0,0,8.25,0,8.91,39.3,4.12,0
 96-106,0,0,0,13.35,29.55,0,20.23,0.87,0.9,1.02,475.28,2.43,14.98,2.55,0,8.2,0,28.54,0,291.88,0,17.26,9.88,42.07,2.46,5.21,4.57,20.05,4.83,0,0,32.61,0.85,10.02,79.2,3.88,1.25
108-118,0,0,0,63.68,0,1.55,36.61,2.21,3.49,0.62,612.83,14.3,9.06,9.89,0.49,23.73,1.82,52.18,6.34,468.6,0.93,31.68,17.49,67.16,5.49,4.74,15.07,47.8,1.12,0,1.06,30.98,2.65,20.44,106.63,6.18,1.54
120,0,3.29,1.66,128.4,17.84,1.79,89.43,2.34,12.53,0,795.77,15.39,15.53,1.43,1.07,23.31,0,38.49,0,817.07,0,33.42,56.65,119.14,20.33,3.66,19.85,49.85,14.04,0,1.26,29.87,9.38,37.16,117.25,16.38,1.1
