stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,5.95,0,112.3,0,0,0,7.43,0,0,0,0,60.54,0,28.9,26.5,0,0,0,1.54,3.33,0,0,3.92,0,2.64,0,0
 24-34,8.16,0,52.24,3.06,0.63,0,1.36,1.45,6.13,0.74,0,45.43,0,11.43,55.73,1.1,0,0,0,0,0,1.25,11.43,0,7.35,0,0
 36-46,0,0,4.27,15.82,0,0,0,0.93,4.88,0,0.74,22.57,3.05,3.53,46.7,0.63,2.11,0,0,0,0,0,8.27,0,0,0,0
 48-58,0,0,11.96,17.42,0,1.39,1.26,0,3.8,0,1.71,4.65,3.1,2.08,41.67,0,0,2.87,0,0,1.56,0,7.07,0,2.55,0,0
 60-70,0,0,1.16,32.82,0,1.05,0,0,1.51,0,0,11.54,3.11,0,83.5,0,0,0,0,0,0.67,0,5.7,1.33,3.23,0.64,10.23
 72-82,0,0,31.93,26.72,0.76,0,0.65,0,5.36,0,4.44,4.41,5.83,0,92.12,0,0,0,0,0,0,0,2.97,0,0.86,1.95,0
 84-94,0,0.66,32.46,26,0,0,0.68,0,9.67,0,9.22,7.79,4.78,1.08,74.99,0,0,0,0,0,0,0,2.91,1.96,0.58,2.94,0
 96-106,0,1.1,49.32,15.57,2.13,1.55,0,0,9.67,0,2.8,9.52,1.7,0,36.24,0,0,1.5,0,0,0,0,0,0,4.06,3.85,2.89
108-118,0,0,29.89,18.36,0,0.8,0,0,16.24,0,5.91,4.15,4.07,0,55.27,0,0,0.54,0,0,0,0,1.66,0,4.06,1.34,1.42
120,0,0,34.76,6.23,0,2.21,0,0,15.72,0,1.91,0,1.45,0,64.73,0,0,0,0,0,1.52,0,0,0,4.03,0,0
