stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,38.33,615.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0
  5-6,0,190.45,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,6.49,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,4.43,0,0,0
 14-21,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0.89,1.72,0,0,0,0,0,1.8
 24-34,0,0,0.76,1.89,1.95,0.63,0,0,2.68,0,0,6.25,0,0,2.78,22.66,0,0.98,0,0,8.21,25.67
 36-46,0,0,0,0,0,3.01,1.61,0.71,0.96,0,0,0.67,0.59,0,0,5.41,0,0,0,0,2,1.27
 48-58,0,0,0,0,0,1.34,0,0,0,0,0.39,0.63,0,4.37,1.2,1.99,0,0,0,0,0,1.49
 60-70,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0.73,0,0,0,0,0.71
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,1.42,0.49,0,0,0,0,9.35
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17
 96-106,0,0,0,0,0,0.74,0,0,5.38,0,0,6.82,0,0,0,1.14,0,0,0,0,0,4.88
108-118,0,0,0,0,0.41,0,0,0,2.13,1.13,0,1.6,0,0,0,0.88,0,0,0,0,0,1.8
120,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,12.69
