stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,112.29,781.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.15,1485.95,0,0,0,0,0,0,0,0,0,23.91,0,0,0,0,0,0,0,0,0,0,0,31.23,0,0,0,0,0,21.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.48,22.94,0,30.04,0,0,77.35,0,0,0,0,35.79,0,0,0,0,0,0,0,0,0,0,0,567.9,31.35,0,0,216.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.05,0,34.45,0,0,33.66,0,0,0,0,33.65,0,0,0,0,0,0,0,0,0,0,0,369.81,9.96,0,0,109.42,0,0,0,0,13,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.47,24.11,12.35,5.53,0,0,4.21,0.9,0,0,2.05,5.17,0,0,2.42,0.91,21.23,0,0,26.82,180.87,5.89,0,0.85,1.75,0,4.94,0.91,11.9,3.69,0.84,23.31,80.7,0,0,4.33,0,0
 24-34,0,0,0.8,3.04,8.32,2.58,20.45,0,0,6.22,0.69,0,0.8,2.52,2.07,0,0.75,0,0,21.45,1.85,0,4.64,268.62,2.87,0.72,2.19,0,0,14.41,0,0,1.62,1.22,1.37,83.8,0,0,2.29,0,0
 36-46,0,0,0,0,3.69,0,61.96,3.29,1.48,10.79,0,1.26,0,2.59,0,0,0,0,0,33.27,0,0.89,11.15,427.85,3.12,4.48,1.39,0,0,40.69,0,0,3.14,0,0,125.43,0,0,8.77,0,6.11
 48-58,0,0,0,0.43,1.82,0,75.31,0.38,0.82,25.56,0.51,0,0,1.29,0,0,0.45,0,0,27.28,0.56,3.65,5.12,237.52,9.06,1.78,0.86,0,0,22.58,0,0,0.61,0,0,57.59,0,0,4.73,0,2.21
 60-70,0,0,0,0,11.4,0,97.44,0,0.8,5.33,0,0,0,10.14,0.71,0,0,0,10.18,29.84,1.09,2.38,5.43,166.05,0.96,0,0,0,0,12.8,0,0,0,1.71,0,33.81,2.97,0,1.17,0,3.85
 72-82,0,0,0.56,0,3.81,2.9,109.38,0,2.92,14.35,0.53,0,1.07,2.09,1.19,0.59,0,0,0,47.83,1.23,2.67,4.94,228.95,1.08,6.02,3.44,0,0,5.89,0,0,0,0,0,34.76,11.88,0,2.04,0,0
 84-94,0,0,3.73,0,11.09,1.18,65.67,0,1.36,10.69,3.76,0,1.67,4.4,3.45,0.55,0,0,0,78.85,0,0,6.57,112.61,10.01,8.96,6.95,0,0,24.92,0,0,1.09,0,0,12.7,16.14,0.68,2.7,0,0
 96-106,0,0,1.98,0,7.17,0,72.79,0.62,0,15.29,2.81,0,0,5.97,2.13,0,2.83,0,0,54.14,1.77,3.94,4.48,97.89,1.86,2.54,3.25,0,3,16.39,0,0,0,0,0,0.64,1.59,6.13,7.48,2.72,0
108-118,0,0,0,0,24.36,7.56,67.95,1.3,1.37,18.5,6.5,0,0,16.91,0.66,0,3.53,2.89,2.17,77.79,2.11,0,3.88,192.8,9.75,2.39,2.23,0,1.37,14.85,0,0,0,0,0,12.87,3.73,0.57,6.59,0.92,6.6
120,0,0,0,0,14.15,10.1,76.46,0,2.28,9.5,4.56,0,0,16.97,0,0,0,2.32,0,52.39,0,2.03,0,164.92,19.49,8.23,2.37,0,5.08,11.83,0,0,0,0,0,0,6.87,0,0,2.54,0
