stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0.98,0,1.27,0,0,0,4.39,0,0
 24-34,0,0,9.68,0,0,0,0,0,0,0,0,0,0,136.15,0,4.39,0,0,0,0,36.23,0,0
 36-46,0,0,0,0,0,0,0,0.99,0,0,0,0,0,179.01,0,6.47,0,0,0,0.7,62.47,0,0
 48-58,0,0,3.13,0,0,1.38,0,0,0,0,0,0,0,168.18,0,10.7,0,3.66,0,0,7.32,0,1.5
 60-70,0,0,1.45,0,0,2.86,0,0,0,0,6.6,0,0,269.83,0,0,0,0,2.83,2.54,0.82,1.6,0
 72-82,2.32,5.65,16.88,0,0.68,1.1,0,4.94,2.23,0,0,0,0,644.17,0,1.44,0,0,0.97,0,3.32,0,5.01
 84-94,0,0,44.16,0,0,0,0,0.8,0,0,0.64,0,0,598.87,0,0.95,0,0,3.87,0,14.13,0,0
 96-106,11.04,0,70.25,0.59,0,16.16,0,4.41,0,0,6.65,0,1.81,721.03,0,2.45,0,0,3.92,1.65,14.91,5.85,0
108-118,2.14,0,39.7,0,0,11.55,0,0,0,0.64,3.33,2.57,0,980.39,0,14.46,0,0,1.44,0.61,6.1,0,0
120,5.31,0,15.48,0,0,0,2.18,4.06,0,0,3.19,0,0,1408.02,0,4.78,0,0,1.07,0,0,0,0
