stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,151.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,9.25,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.11,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,24.33,4.99,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0,0,0,34.44,0,0,0,9.68,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.07,0,0,0,0,0,0.89,0,0,0,0,3.32,0,0,52.66,0,1.07,0,0,0,3.59,2.47,0.85,5.04,0,14.19,0,0,0,0
 24-34,0,0.83,0,1.54,0.9,0,15.63,0,0,0,1.02,0,0,0,0,4.54,0,1.57,103.65,0,2.1,0.69,0,0,2.84,0,0,0,0.62,22.13,0,2.58,0,0
 36-46,0,0,0,0,0,0,35.26,0,0,0,1.57,0,0,0,0,5.57,1.26,0,94.29,0,1.61,0,0,0,12.1,0,0,0,0,8.96,0,0,0,0
 48-58,0,0,0,0,1.76,0,67.85,0,0.8,0,3.3,0,0,0,0,8.93,4.91,3.62,66.32,0,0,1.8,0,0,0,0,0,0,0,5.08,0,0.5,0,0.38
 60-70,0,0,0,0,1.84,0,55,0,0,0.7,2.06,0,0,0,0,9.59,1.84,1.35,34.07,2.9,0,0,0,0,10.11,0,0,0,0,3.44,0,2.87,0,0
 72-82,0,0,0,0,1.04,1.42,17.14,0,0,0,4.62,0,4.83,0.63,0,10.54,0,1.32,30.53,0,0,0,0,0,0,0,0,0,0,2.16,0,1.98,0,0
 84-94,0,0,0,0,0.57,0,19.44,0.64,0.62,0,12.14,1.73,0,2.03,0,2.2,0,4.06,13.81,0,3.11,0,0,6.23,2.48,0,0,0,0,1.01,0.84,1.82,0,0
 96-106,0,0,0.81,0,0,0,10.92,0,0,0,5.29,0,0,12.18,0,5.48,0,0,12.67,0,1.2,0,0,0,11.4,0,0,0,0,3.11,0,0.62,0,0
108-118,0,0,0.84,0,1.16,0,7.88,0,0,0.71,7.28,3.43,0,6.27,0.56,7.49,0.65,0,19.02,0,0,4.18,0,0,3.41,0,0.43,0,0,0,0,1.6,0.42,0
120,0,0,0,0,1.24,1.34,16.77,0,0,0,1.43,3,0,7.58,0,8.06,0,2.52,24.23,2.28,2,0,0,0,0,0,0,0,0,0,0,0,0,0
